18-10-2015 10:29:34 infiSTAR.de | Optima(76561198052079567) | Teleport to [4141.38,5578.17,0](GPS: 041830) (v0015)
18-10-2015 10:30:07 infiSTAR.de | Optima(76561198052079567) | Teleport to [2664.51,6599.01,0](GPS: 026840) (v0015)
18-10-2015 10:34:18 infiSTAR.de | Optima(76561198052079567) | Teleport to [13066.9,8793.41,0](GPS: 130862) (v0015)
18-10-2015 10:34:57 infiSTAR.de | Optima(76561198052079567) | +500 Money - GamingNinjaFTW [GUER](76561198249004724) (v0015)
18-10-2015 10:37:46 infiSTAR.de | Optima(76561198052079567) | Teleport to [12866.3,8823.19,0](GPS: 128862) (v0015)
18-10-2015 10:37:59 infiSTAR.de | Optima(76561198052079567) | Teleport to [12746.5,8778.7,0](GPS: 127862) (v0015)
18-10-2015 10:38:20 infiSTAR.de | Optima(76561198052079567) | Teleport to [12864.7,8824.96,0](GPS: 128862) (v0015)
18-10-2015 10:39:07 infiSTAR.de | Optima(76561198052079567) | Teleport to [12767.7,8791.08,0](GPS: 127862) (v0015)
18-10-2015 10:43:56 infiSTAR.de | Optima(76561198052079567) | Mass Message: LOG OFF NOW REBOOT INCOMING (v0015)
18-10-2015 10:44:32 infiSTAR.de | Optima(76561198052079567) | Mass Message: LOG OFF NOW REBOOT INCOMING (v0015)
18-10-2015 10:44:52 infiSTAR.de | Optima(76561198052079567) | Mass Message: LOG OFF REBOOT INCOMING NOW (v0015)
18-10-2015 10:45:25 infiSTAR.de | Optima(76561198052079567) | Mass Message: LOG OFF REBOOT INCOMING (v0015)
18-10-2015 10:45:51 infiSTAR.de | Optima(76561198052079567) | Mass Message: LOG OFF NOW REBOOT INCOMING (v0015)
18-10-2015 10:56:27 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0015D)
18-10-2015 10:56:29 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0015D)
18-10-2015 10:56:37 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0015D)
18-10-2015 10:56:37 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - Falcon911 [GUER](76561197974470549) (v0015D)
18-10-2015 10:56:38 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0015D)
18-10-2015 10:56:39 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0015D)
18-10-2015 10:56:40 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0015D)
18-10-2015 10:56:50 infiSTAR.de | Optima(76561198052079567) | Add / Remove Money - Optima [GUER](76561198052079567) (v0015D)
18-10-2015 10:57:16 infiSTAR.de | Falcon911(76561197974470549) | Spawn Support-Box4 (v0015D)
18-10-2015 10:57:30 infiSTAR.de | Falcon911(76561197974470549) | Spawn Support-Box4 (v0015D)
18-10-2015 10:57:46 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 1 (v0015D)
18-10-2015 10:57:48 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR MapIcons - 1 (v0015D)
18-10-2015 10:59:34 infiSTAR.de | Optima(76561198052079567) | Teleport to [16352.8,7035.33,0](GPS: 163845) (v0015D)
18-10-2015 10:59:37 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0015D)
18-10-2015 11:01:10 infiSTAR.de | Optima(76561198052079567) | Teleport to [13023.4,8872.66,0](GPS: 130863) (v0015D)
18-10-2015 11:01:25 infiSTAR.de | Optima(76561198052079567) | Teleport - Target To Me - GamingNinjaFTW [GUER](76561198249004724) (v0015D)
18-10-2015 11:01:27 infiSTAR.de | Optima(76561198052079567) | Teleport - Target To Me - GamingNinjaFTW [GUER](76561198249004724) (v0015D)
18-10-2015 11:09:16 infiSTAR.de | Optima(76561198052079567) | Teleport to [12766.5,8735.07,0](GPS: 127862) (v0015D)
18-10-2015 11:12:09 infiSTAR.de | Optima(76561198052079567) | Teleport to [12766.6,8725.47,0](GPS: 127861) (v0015D)
18-10-2015 11:13:30 infiSTAR.de | Optima(76561198052079567) | Teleport to [5535.67,10751.8,0](GPS: 055882) (v0015D)
18-10-2015 11:16:24 infiSTAR.de | Optima(76561198052079567) | Teleport to [12742.4,8728.4,0](GPS: 127862) (v0015D)
18-10-2015 11:16:28 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0015D)
18-10-2015 11:20:02 infiSTAR.de | Optima(76561198052079567) | Teleport to [8964.37,2960.61,0](GPS: 089804) (v0015D)
18-10-2015 11:23:28 infiSTAR.de | Optima(76561198052079567) | Teleport to [12523.3,8677.96,0](GPS: 125861) (v0015D)
18-10-2015 11:24:03 infiSTAR.de | Optima(76561198052079567) | Teleport to [12743.9,8754.74,0](GPS: 127862) (v0015D)
18-10-2015 11:25:13 infiSTAR.de | Optima(76561198052079567) | Teleport to [12145.4,8144.65,0](GPS: 121856) (v0015D)
18-10-2015 11:25:21 infiSTAR.de | Optima(76561198052079567) | Teleport to [12151.2,8134.54,0](GPS: 121856) (v0015D)
18-10-2015 11:25:38 infiSTAR.de | Optima(76561198052079567) | Teleport to [12728,8745.23,0](GPS: 127862) (v0015D)
18-10-2015 11:25:40 infiSTAR.de | Optima(76561198052079567) | Teleport to [12814.5,8738.79,0](GPS: 128862) (v0015D)
18-10-2015 11:25:52 infiSTAR.de | Optima(76561198052079567) | Add / Remove Money - renda238 [GUER](76561198087661801) (v0015D)
18-10-2015 11:27:53 infiSTAR.de | Optima(76561198052079567) | Teleport to [12733,8792.17,0](GPS: 127862) (v0015D)
18-10-2015 11:33:51 infiSTAR.de | Optima(76561198052079567) | Teleport to [11407.9,8336.12,0](GPS: 114858) (v0015D)
18-10-2015 11:33:59 infiSTAR.de | Optima(76561198052079567) | Teleport to [3052.6,5405.62,0](GPS: 030828) (v0015D)
18-10-2015 11:34:53 infiSTAR.de | Optima(76561198052079567) | Add / Remove Money - [L.N.S] Wyatt [GUER](76561198076914939) (v0015D)
18-10-2015 11:36:10 infiSTAR.de | Optima(76561198052079567) | Teleport to [12749.8,8742.67,0](GPS: 127862) (v0015D)
18-10-2015 11:37:44 infiSTAR.de | Optima(76561198052079567) | Teleport to [12709.2,8738.33,0](GPS: 127862) (v0015D)
18-10-2015 11:37:58 infiSTAR.de | Optima(76561198052079567) | Teleport to [3022.27,5438.83,0](GPS: 030829) (v0015D)
18-10-2015 11:38:23 infiSTAR.de | Optima(76561198052079567) | Teleport to [3138.97,5450.43,0](GPS: 031829) (v0015D)
18-10-2015 11:38:46 infiSTAR.de | Optima(76561198052079567) | Teleport to [3139.44,5472.88,0](GPS: 031829) (v0015D)
18-10-2015 11:40:05 infiSTAR.de | Optima(76561198052079567) | Teleport to [12769,8856.6,0](GPS: 127863) (v0015D)
18-10-2015 11:41:25 infiSTAR.de | Optima(76561198052079567) | Teleport to [3056.87,5438.13,0](GPS: 030829) (v0015D)
18-10-2015 12:06:07 infiSTAR.de | Cannon(76561198027365826) | infiSTAR Player ESP - 1 (v0015D)
18-10-2015 12:07:48 infiSTAR.de | Cannon(76561198027365826) | God Mode - 1 (v0015D)
18-10-2015 12:07:51 infiSTAR.de | Cannon(76561198027365826) | infiSTAR MapIcons - 1 (v0015D)
18-10-2015 12:08:08 infiSTAR.de | Cannon(76561198027365826) | Teleport to [8214.78,4255.53,0](GPS: 082817) (v0015D)
18-10-2015 12:12:13 infiSTAR.de | Ford(76561198068372718) | infiSTAR Player ESP - 1 (v0015D)
18-10-2015 12:12:13 infiSTAR.de | Ford(76561198068372718) | infiSTAR Dead ESP - 1 (v0015D)
18-10-2015 12:12:16 infiSTAR.de | Ford(76561198068372718) | infiSTAR MapIcons - 1 (v0015D)
18-10-2015 12:12:17 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0015D)
18-10-2015 12:12:18 infiSTAR.de | Ford(76561198068372718) | God Mode - 1 (v0015D)
18-10-2015 12:12:19 infiSTAR.de | Ford(76561198068372718) | Vehicle God Mode - 1 (v0015D)
18-10-2015 12:12:19 infiSTAR.de | Ford(76561198068372718) | Vehboost - 1 (v0015D)
18-10-2015 12:12:37 infiSTAR.de | Ford(76561198068372718) | Teleport to [8206.53,4262.03,0](GPS: 082817) (v0015D)
18-10-2015 12:12:56 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0015D)
18-10-2015 12:12:57 infiSTAR.de | Ford(76561198068372718) | Lower Terrain - 1 (v0015D)
18-10-2015 12:12:58 infiSTAR.de | Ford(76561198068372718) | Teleport In Facing Direction (10m steps) - 1 (v0015D)
18-10-2015 12:14:09 infiSTAR.de | Ford(76561198068372718) | Teleport to [16788.3,7774.82,0](GPS: 167852) (v0015D)
18-10-2015 12:14:12 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0015D)
18-10-2015 12:14:27 infiSTAR.de | Cannon(76561198027365826) | AdminConsole (v0015D)
18-10-2015 12:15:25 infiSTAR.de | Ford(76561198068372718) | Teleport to [8199.4,4266.41,0](GPS: 081817) (v0015D)
18-10-2015 12:16:57 infiSTAR.de | Ford(76561198068372718) | Teleport to [9718.46,2189.55,0](GPS: 097796) (v0015D)
18-10-2015 12:16:59 infiSTAR.de | Optima(76561198052079567) | Teleport to [6945.5,3733.05,0](GPS: 069812) (v0015D)
18-10-2015 12:17:02 infiSTAR.de | Cannon(76561198027365826) | Teleport to [6896.12,3696.78,0](GPS: 068811) (v0015D)
18-10-2015 12:17:12 infiSTAR.de | Optima(76561198052079567) | Teleport to [6855.06,3636.47,0](GPS: 068811) (v0015D)
18-10-2015 12:17:14 infiSTAR.de | Ford(76561198068372718) | Teleport to [6905.22,3689.42,0](GPS: 069811) (v0015D)
18-10-2015 12:17:20 infiSTAR.de | Ford(76561198068372718) | Teleport to [8204.01,4264.27,0](GPS: 082817) (v0015D)
18-10-2015 12:18:05 infiSTAR.de | Ford(76561198068372718) | Mass Message: How's everyone doing (v0015D)
18-10-2015 12:18:27 infiSTAR.de | Ford(76561198068372718) | Teleport to [3036.03,5470.47,0](GPS: 030829) (v0015D)
18-10-2015 12:18:33 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0015D)
18-10-2015 12:19:31 infiSTAR.de | Ford(76561198068372718) | spawning Hatchback (Sport) (Exile_Car_Hatchback_Sport_Red) (v0015D)
18-10-2015 12:19:58 infiSTAR.de | Ford(76561198068372718) | Teleport to [8213.86,4266.4,0](GPS: 082817) (v0015D)
18-10-2015 12:20:28 infiSTAR.de | Ford(76561198068372718) | Teleport to [3052.48,5466.48,0](GPS: 030829) (v0015D)
18-10-2015 12:20:59 infiSTAR.de | Ford(76561198068372718) | Teleport to [8201.93,4265.87,0](GPS: 082817) (v0015D)
18-10-2015 12:23:07 infiSTAR.de | Optima(76561198052079567) | Teleport to [1108.19,7165.56,0](GPS: 011846) (v0015D)
