18-10-2015 10:37:33 infiSTAR.de | 1h 4min 18s | SilenceFiction(76561198163573906) | BadMoney on Client: added 6500 POP TABS! (41773 should be 35273) [FPS: 8.23469|THREADS: 38] (v0015)
18-10-2015 11:22:32 infiSTAR.de | 0h 27min 47s | Reflux(76561198124589407) | BadScore on Client: added 20000 RESPECT! (20452 should be 452) [FPS: 9.3622|SERVERTHREADS: 32] (v0015D)
18-10-2015 11:37:37 infiSTAR.de | 0h 41min 38s | SniperMan(76561198094861860) | BadMoney on Client: added 900 POP TABS! (1052 should be 152) [FPS: 9.06002|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:00:57 infiSTAR.de | 1h 2min 33s | Zheky(76561198042363732) | BadMoney on Client: added 2000 POP TABS! (22906 should be 20906) [FPS: 7.94439|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:03:57 infiSTAR.de | 1h 5min 8s | Kohl Romero(76561198096029760) | BadMoney on Client: added 1000 POP TABS! (1036 should be 36) [FPS: 7.68492|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:10:10 infiSTAR.de | 1h 9min 46s | Sir Nuggets(76561198026171953) | BadMoney on Client: added 1000 POP TABS! (1252 should be 252) [FPS: 5.90624|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:21:03 infiSTAR.de | 1h 16min 5s | Aphex500(76561197996759556) | BadMoney on Client: added 1000 POP TABS! (1095 should be 95) [FPS: 4.91703|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:24:40 infiSTAR.de | 1h 17min 56s | Tekkiteer(76561198075381705) | BadMoney on Client: added 6750 POP TABS! (12575 should be 5825) [FPS: 5.02828|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:24:41 infiSTAR.de | 1h 17min 57s | [L.N.S] Wyatt(76561198076914939) | BadMoney on Client: added 4000 POP TABS! (6075 should be 2075) [FPS: 5.26316|SERVERTHREADS: 32] (v0015D)
18-10-2015 12:33:19 infiSTAR.de | 1h 23min 7s | Zheky(76561198042363732) | BadScore on Client: added 10000 RESPECT! (15034 should be 5034) [FPS: 5.58854|SERVERTHREADS: 32] (v0015D)
18-10-2015 13:13:04 infiSTAR.de | 1h 46min 35s | Right Shark(76561198071102879) | BadMoney on Client: added 4000 POP TABS! (7361 should be 3361) [FPS: 5.86081|SERVERTHREADS: 32] (v0015D)
18-10-2015 13:28:45 infiSTAR.de | 1h 55min 50s | Jak Keen(76561198086856275) | BadMoney on Client: added 3250 POP TABS! (10905 should be 7655) [FPS: 6.01278|SERVERTHREADS: 32] (v0015D)
