11-01-2016 10:06:04 infiSTAR.de | Syntax(76561198052079567) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 10:06:05 infiSTAR.de | Syntax(76561198052079567) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 10:06:06 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 10:06:07 infiSTAR.de | Syntax(76561198052079567) | God Mode - 1 (v0027A)
11-01-2016 10:06:08 infiSTAR.de | Syntax(76561198052079567) | Lower Terrain - 1 (v0027A)
11-01-2016 10:06:09 infiSTAR.de | Syntax(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
11-01-2016 10:07:50 infiSTAR.de | Syntax(76561198052079567) | Exploding James Jack(76561198155712450) @186120 (v0027A)
11-01-2016 10:07:50 infiSTAR.de | Syntax(76561198052079567) | Explode - R Charlie 1-2:1 (James Jack) REMOTE(76561198155712450) (v0027A)
11-01-2016 10:08:00 infiSTAR.de | Syntax(76561198052079567) | SPECTATE - switchedCamera on James Jack(76561198155712450) (v0027A)
11-01-2016 10:09:08 infiSTAR.de | Syntax(76561198052079567) | Teleport to [17586.5,3627.42,0](GPS: 175138) (v0027A)
11-01-2016 10:09:53 infiSTAR.de | Syntax(76561198052079567) | Teleport to [17474.5,3563.16,0](GPS: 174138) (v0027A)
11-01-2016 10:10:20 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 0 (v0027A)
11-01-2016 10:10:41 infiSTAR.de | Syntax(76561198052079567) | UnlimAmmo - 1 (v0027A)
11-01-2016 10:12:56 infiSTAR.de | Syntax(76561198052079567) | SPECTATE - switchedCamera on James Jack(76561198155712450) (v0027A)
11-01-2016 10:17:57 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 10:18:19 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 0 (v0027A)
11-01-2016 10:19:29 infiSTAR.de | Syntax(76561198052079567) | Teleport to [17795.8,2236.02,0](GPS: 177124) (v0027A)
11-01-2016 10:20:53 infiSTAR.de | Syntax(76561198052079567) | God Mode - 0 (v0027A)
11-01-2016 10:31:19 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 10:31:20 infiSTAR.de | Syntax(76561198052079567) | God Mode - 1 (v0027A)
11-01-2016 10:31:24 infiSTAR.de | Syntax(76561198052079567) | Teleport to [1325.21,20398.9,0](GPS: 013306) (v0027A)
11-01-2016 10:32:58 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov (desert) (CUP_srifle_SVD_des_ghillie_pso) on the ground infront of Syntax! (v0027A)
11-01-2016 10:33:22 infiSTAR.de | Syntax(76561198052079567) | Spawning Carryall Backpack (Olive) (B_Carryall_oli) on the ground infront of Syntax! (v0027A)
11-01-2016 10:33:48 infiSTAR.de | Syntax(76561198052079567) | Spawning Exile Woodland (Exile_Uniform_Woodland) on the ground infront of Syntax! (v0027A)
11-01-2016 10:33:52 infiSTAR.de | Syntax(76561198052079567) | Spawning Exile Woodland (Exile_Uniform_Woodland) on the ground infront of Syntax! (v0027A)
11-01-2016 10:33:59 infiSTAR.de | Syntax(76561198052079567) | Spawning Carrier GL Rig (Black) (V_PlateCarrierGL_blk) on the ground infront of Syntax! (v0027A)
11-01-2016 10:34:19 infiSTAR.de | Syntax(76561198052079567) |  (v0027A)
11-01-2016 10:34:22 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov Mag. (CUP_10Rnd_762x54_SVD_M) on Syntax! (v0027A)
11-01-2016 10:34:23 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov Mag. (CUP_10Rnd_762x54_SVD_M) on Syntax! (v0027A)
11-01-2016 10:34:23 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov Mag. (CUP_10Rnd_762x54_SVD_M) on Syntax! (v0027A)
11-01-2016 10:34:24 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov Mag. (CUP_10Rnd_762x54_SVD_M) on Syntax! (v0027A)
11-01-2016 10:34:24 infiSTAR.de | Syntax(76561198052079567) | Spawning SVD Dragunov Mag. (CUP_10Rnd_762x54_SVD_M) on Syntax! (v0027A)
11-01-2016 10:35:08 infiSTAR.de | Syntax(76561198052079567) | Teleport to [9266.32,13315.5,0](GPS: 092235) (v0027A)
11-01-2016 10:35:32 infiSTAR.de | Syntax(76561198052079567) | Deleting CUP_B_Mi24_D_MEV_CDF @092236.. (v0027A)
11-01-2016 10:37:51 infiSTAR.de | Syntax(76561198052079567) | Teleport to [7216.26,6002.39,0](GPS: 072162) (v0027A)
11-01-2016 10:41:29 infiSTAR.de | Syntax(76561198052079567) | UnlimAmmo - 0 (v0027A)
11-01-2016 10:42:14 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 0 (v0027A)
11-01-2016 10:43:40 infiSTAR.de | Syntax(76561198052079567) | Teleport to [7021.23,5767.16,0](GPS: 070160) (v0027A)
11-01-2016 10:47:52 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
11-01-2016 10:47:57 infiSTAR.de | Syntax(76561198052079567) | Teleport to [1611.47,20385.5,0](GPS: 016306) (v0027A)
11-01-2016 11:16:14 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
11-01-2016 11:16:15 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
11-01-2016 11:16:16 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 11:16:17 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 11:16:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5621.71,16464.6,0](GPS: 056267) (v0027A)
11-01-2016 11:19:47 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [3379.39,15509.1,0](GPS: 033257) (v0027A)
11-01-2016 11:45:25 infiSTAR.de | Ford(76561198068372718) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 11:45:26 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0027A)
