12-01-2016 00:06:45 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - jaG [GUER](76561197980192382) (v0027A)
12-01-2016 00:06:46 infiSTAR.de | Bayley(76561198037794465) | Teleported jaG(76561197980192382) from [18345.7,4551.99,0.339096](183147) to [18345.7,4551.99,0.339096](183147)  (0m) (v0027A)
12-01-2016 00:06:49 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - jaG [GUER](76561197980192382) (v0027A)
12-01-2016 00:10:01 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0027A)
12-01-2016 00:12:01 infiSTAR.de | Bayley(76561198037794465) | Deleting GroundWeaponHolder @180126.. (v0027A)
12-01-2016 00:12:17 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - WombRaider [GUER](76561198039683520) (v0027A)
12-01-2016 00:13:21 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - WombRaider [GUER](76561198039683520) (v0027A)
12-01-2016 00:13:22 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - WombRaider [GUER](76561198039683520) (v0027A)
12-01-2016 00:13:24 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - WombRaider [GUER](76561198039683520) (v0027A)
12-01-2016 00:14:25 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
12-01-2016 00:14:45 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - HardCharger [GUER](76561198008333668) (v0027A)
12-01-2016 00:14:59 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - HardCharger [GUER](76561198008333668) (v0027A)
12-01-2016 00:16:11 infiSTAR.de | Bayley(76561198037794465) | Teleport to [6354.59,5786.9,0](GPS: 063160) (v0027A)
12-01-2016 00:16:17 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0027A)
12-01-2016 00:16:18 infiSTAR.de | Bayley(76561198037794465) | Teleported HardCharger(76561198008333668) from [5880.46,5653.58,0.00155973](058158) to [5880.46,5653.58,0.00155973](058158)  (0m) (v0027A)
12-01-2016 00:16:38 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - HardCharger [GUER](76561198008333668) (v0027A)
12-01-2016 00:16:38 infiSTAR.de | Bayley(76561198037794465) | Teleported HardCharger(76561198008333668) from [6366.89,5779.42,0.00113535](063160) to [6366.89,5779.42,0.00113535](063160)  (0m) (v0027A)
12-01-2016 00:16:43 infiSTAR.de | Bayley(76561198037794465) | Heal - R Bravo 2-2:1 (HardCharger) REMOTE(76561198008333668) (v0027A)
12-01-2016 00:22:00 infiSTAR.de | Bayley(76561198037794465) | Support-Box1 created for Bayley(76561198037794465)! (v0027A)
12-01-2016 00:25:29 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Container_Storagecrate @063159.. (v0027A)
12-01-2016 00:25:31 infiSTAR.de | Bayley(76561198037794465) | Deleting GroundWeaponHolder @063159.. (v0027A)
12-01-2016 00:26:03 infiSTAR.de | Bayley(76561198037794465) | Support-Box1 created for Bayley(76561198037794465)! (v0027A)
12-01-2016 00:31:06 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
