13-01-2016 10:00:56 infiSTAR.de | Dodds(76561198025627975) | God Mode - 1 (v0027A)
13-01-2016 10:00:57 infiSTAR.de | Dodds(76561198025627975) | Stealth / Invisible - 1 (v0027A)
13-01-2016 10:01:00 infiSTAR.de | Dodds(76561198025627975) | infiSTAR MapIcons - 1 (v0027A)
13-01-2016 10:01:02 infiSTAR.de | Dodds(76561198025627975) | UnlimAmmo - 1 (v0027A)
13-01-2016 10:01:07 infiSTAR.de | Dodds(76561198025627975) | noRecoil - 1 (v0027A)
13-01-2016 10:01:07 infiSTAR.de | Dodds(76561198025627975) | FastFire - 1 (v0027A)
13-01-2016 10:01:14 infiSTAR.de | Dodds(76561198025627975) | infiSTAR Player ESP - 1 (v0027A)
13-01-2016 10:03:33 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1651.35,8275.69,0](GPS: 016185) (v0027A)
13-01-2016 10:04:49 infiSTAR.de | Dodds(76561198025627975) | Stealth / Invisible - 0 (v0027A)
13-01-2016 10:07:21 infiSTAR.de | Dodds(76561198025627975) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
13-01-2016 10:17:26 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1677.57,9853.17,0](GPS: 016200) (v0027A)
13-01-2016 10:17:40 infiSTAR.de | Dodds(76561198025627975) | Teleport - Target To Me - TheGreenBastard [GUER](76561198239583742) (v0027A)
13-01-2016 10:17:40 infiSTAR.de | Dodds(76561198025627975) | Teleported TheGreenBastard(76561198239583742) from [1600.07,8250.65,0.255128](016184) to [1600.07,8250.65,0.255128](016184)  (0m) (v0027A)
13-01-2016 10:17:51 infiSTAR.de | Dodds(76561198025627975) | Exploding TheGreenBastard(76561198239583742) @016200 (v0027A)
13-01-2016 10:17:51 infiSTAR.de | Dodds(76561198025627975) | Explode - R Bravo 3-3:1 (TheGreenBastard) REMOTE(76561198239583742) (v0027A)
13-01-2016 10:18:10 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1634.5,8267.94,0](GPS: 016185) (v0027A)
13-01-2016 10:23:55 infiSTAR.de | Dodds(76561198025627975) | Teleport to [729.253,1207.02,0](GPS: 007114) (v0027A)
13-01-2016 10:24:29 infiSTAR.de | Dodds(76561198025627975) | spawning A-10C Thunderbolt II (CAS) (CUP_B_A10_CAS_USA) (v0027A)
13-01-2016 10:25:39 infiSTAR.de | Dodds(76561198025627975) | Teleport to [930.571,1305.94,0](GPS: 009115) (v0027A)
13-01-2016 10:25:58 infiSTAR.de | Dodds(76561198025627975) | spawning AH-64D (Escort) (CUP_B_AH64D_ES_USA) (v0027A)
13-01-2016 10:26:47 infiSTAR.de | Dodds(76561198025627975) | Teleport to [643.475,8957.38,93.9102](GPS: 006191) (v0027A)
13-01-2016 10:27:35 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1409.64,7338.09,5.76079](GPS: 014175) (v0027A)
13-01-2016 10:27:40 infiSTAR.de | Dodds(76561198025627975) | Teleport to [9763.16,5407.07,5.20232](GPS: 097156) (v0027A)
13-01-2016 10:28:41 infiSTAR.de | Dodds(76561198025627975) | Teleport to [764.038,1205.62,0](GPS: 007114) (v0027A)
13-01-2016 10:29:00 infiSTAR.de | Dodds(76561198025627975) | spawning T-55 (CUP_I_T55_TK_GUE) (v0027A)
13-01-2016 10:29:41 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1670.22,8281.2,0](GPS: 016185) (v0027A)
13-01-2016 10:33:37 infiSTAR.de | Dodds(76561198025627975) | Deleting B_Soldier_F @016185.. (v0027A)
13-01-2016 10:35:34 infiSTAR.de | Dodds(76561198025627975) | Deleting GroundWeaponHolder @016185.. (v0027A)
13-01-2016 10:35:57 infiSTAR.de | Dodds(76561198025627975) | Spawning AS50 (CUP_srifle_AS50) on the ground infront of Dodds! (v0027A)
13-01-2016 10:36:14 infiSTAR.de | Dodds(76561198025627975) | Deleting GroundWeaponHolder @016185.. (v0027A)
13-01-2016 10:36:29 infiSTAR.de | Dodds(76561198025627975) | Spawning Leupold Mk4 (CUP_optic_LeupoldMk4) on the ground infront of Dodds! (v0027A)
13-01-2016 10:37:36 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1949.42,1146.55,0](GPS: 019113) (v0027A)
13-01-2016 10:38:14 infiSTAR.de | Dodds(76561198025627975) | Stealth / Invisible - 1 (v0027A)
13-01-2016 10:38:17 infiSTAR.de | Dodds(76561198025627975) | Teleport to [17602.8,2728.17,0](GPS: 176129) (v0027A)
13-01-2016 10:38:36 infiSTAR.de | Dodds(76561198025627975) | Teleport to [18341.3,3583.85,0](GPS: 183138) (v0027A)
13-01-2016 10:38:56 infiSTAR.de | Dodds(76561198025627975) | Teleport to [18968.5,19231.4,0](GPS: 189294) (v0027A)
13-01-2016 10:39:13 infiSTAR.de | Dodds(76561198025627975) | Teleport to [1529.66,8214.15,0](GPS: 015184) (v0027A)
13-01-2016 11:48:55 infiSTAR.de | Syntax(76561198052079567) | Stealth / Invisible - 1 (v0027A)
13-01-2016 11:48:56 infiSTAR.de | Syntax(76561198052079567) | God Mode - 1 (v0027A)
