15-01-2016 19:21:14 infiSTAR.de | Falcon911(76561197974470549) | God Mode - 1 (v0027C)
15-01-2016 19:21:16 infiSTAR.de | Falcon911(76561197974470549) | Stealth / Invisible - 1 (v0027C)
15-01-2016 19:21:17 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 19:21:18 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 19:21:19 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 0 (v0027C)
15-01-2016 19:22:00 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1341.85,1176.71,0](GPS: 013114) (v0027C)
15-01-2016 19:22:31 infiSTAR.de | Falcon911(76561197974470549) | Show Server Information - 1 (v0027C)
15-01-2016 19:27:45 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0027C)
15-01-2016 19:27:46 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0027C)
15-01-2016 19:27:48 infiSTAR.de | 7=Temp(76561198133523234) | Lower Terrain - 1 (v0027C)
15-01-2016 19:27:49 infiSTAR.de | 7=Temp(76561198133523234) | Teleport In Facing Direction (10m steps) - 1 (v0027C)
15-01-2016 19:27:51 infiSTAR.de | 7=Temp(76561198133523234) | UnlimAmmo - 1 (v0027C)
15-01-2016 19:27:52 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 19:27:54 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 19:28:23 infiSTAR.de | 7=Temp(76561198133523234) | Vehicle God Mode - 1 (v0027C)
15-01-2016 19:28:23 infiSTAR.de | 7=Temp(76561198133523234) | spawning Mi-24V (CUP_O_Mi24_V_RU) (v0027C)
15-01-2016 19:29:00 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_O_Mi24_V_RU @178124.. (v0027C)
15-01-2016 19:29:39 infiSTAR.de | 7=Temp(76561198133523234) | Add / Remove Money - AlexWJD [GUER](76561198170420898) (v0027C)
