17-01-2016 03:52:04 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR Player ESP - 1 (v0027A)
17-01-2016 03:52:06 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR MapIcons - 1 (v0027A)
17-01-2016 03:52:08 infiSTAR.de | J. Thomas(76561198087140410) | God Mode - 1 (v0027A)
17-01-2016 03:52:08 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 1 (v0027A)
17-01-2016 03:52:33 infiSTAR.de | J. Thomas(76561198087140410) | Move In Target Vehicle - OMEGA™ [GUER (R fORTUNE hUNTERS)](76561197974809837) (v0027A)
17-01-2016 03:55:32 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [19577.6,12698.5,0](GPS: 195229) (v0027A)
17-01-2016 03:55:34 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [19575.7,12703.9,0](GPS: 195229) (v0027A)
17-01-2016 03:57:48 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [19537.8,12653.6,0](GPS: 195228) (v0027A)
17-01-2016 04:00:35 infiSTAR.de | J. Thomas(76561198087140410) | spawning UH-60M (FFV) (CUP_B_UH60M_FFV_US) (v0027A)
17-01-2016 04:01:25 infiSTAR.de | J. Thomas(76561198087140410) | Deleting CUP_B_UH60M_FFV_US @196229.. (v0027A)
17-01-2016 04:01:42 infiSTAR.de | J. Thomas(76561198087140410) | spawning UH-60L (CUP_B_UH60L_US) (v0027A)
17-01-2016 04:01:57 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_UH60L_US] (v0027A)
17-01-2016 04:04:29 infiSTAR.de | J. Thomas(76561198087140410) | spawning UH-60L (CUP_B_UH60L_US) (v0027A)
17-01-2016 04:04:45 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_UH60L_US] (v0027A)
17-01-2016 04:05:07 infiSTAR.de | J. Thomas(76561198087140410) | spawning UH-60L (CUP_B_UH60L_US) (v0027A)
17-01-2016 04:05:17 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_UH60L_US] (v0027A)
17-01-2016 04:06:13 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [18098.3,10671.4,0](GPS: 180209) (v0027A)
17-01-2016 04:17:52 infiSTAR.de | J. Thomas(76561198087140410) | Show Server Information - 1 (v0027A)
17-01-2016 04:18:32 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
17-01-2016 04:18:33 infiSTAR.de | J. Thomas(76561198087140410) | Show Server Information - 0 (v0027A)
17-01-2016 04:18:34 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 0 (v0027A)
17-01-2016 04:18:35 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
17-01-2016 04:19:24 infiSTAR.de | J. Thomas(76561198087140410) | Disable Announces - 1 (v0027A)
17-01-2016 04:19:25 infiSTAR.de | J. Thomas(76561198087140410) | Teleport In Facing Direction (10m steps) - 0 (v0027A)
17-01-2016 04:19:26 infiSTAR.de | J. Thomas(76561198087140410) | Disable Announces - 0 (v0027A)
17-01-2016 04:29:27 infiSTAR.de | J. Thomas(76561198087140410) | Self Disconnect (v0027A)
17-01-2016 07:13:02 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0027A)
