18-01-2016 00:00:31 infiSTAR.de | King Heavy(76561197991198861) | Spawning AI AWM (OD+Ghillie) (hlc_rifle_awMagnum_OD_ghillie) on King Heavy! (v0027A)
18-01-2016 00:01:17 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Ready for an event? (v0027A)
18-01-2016 00:02:37 infiSTAR.de | King Heavy(76561197991198861) | Spawning Metis AT-13 (CUP_launch_Metis) on the ground infront of King Heavy! (v0027A)
18-01-2016 00:02:53 infiSTAR.de | King Heavy(76561197991198861) | Spawning Carryall Backpack (Hex) (B_Carryall_ocamo) on the ground infront of King Heavy! (v0027A)
18-01-2016 00:03:36 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Ground rules for this event: No BM-21s are to be used on the admin mission at any time. Use of BM-21 is punishable by perma ban. (v0027A)
18-01-2016 00:04:48 infiSTAR.de | De Gone(76561198057838365) | Mass Message: King of the Hill! Grid 091-196. Whoever is standing at the highest point of the tower after 2 hours will receive 50K pop tabs! Go! (v0027A)
18-01-2016 00:05:36 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9165.91,9300.59,0](GPS: 091195) (v0027A)
18-01-2016 00:20:16 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7181.6,6132.23,0](GPS: 071163) (v0027A)
18-01-2016 00:20:47 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9087.84,9296.52,0](GPS: 090195) (v0027A)
18-01-2016 00:23:45 infiSTAR.de | De Gone(76561198057838365) | Mass Message: One hour remaining. Whoever is at the highest point of the tower receives 50K pop tabs! (v0027A)
18-01-2016 00:25:05 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9120.38,9227.81,0](GPS: 091194) (v0027A)
18-01-2016 00:34:12 infiSTAR.de | De Gone(76561198057838365) | AdminConsole (v0027A)
18-01-2016 00:34:49 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Time has been reduced to 30 minutes. Reward is now 100K. WHoever is at the highest point wins. (v0027A)
18-01-2016 00:40:24 infiSTAR.de | De Gone(76561198057838365) | Mass Message: All stations be advised. Reserved slots are now available! See forums for further details. (v0027A)
18-01-2016 00:41:03 infiSTAR.de | De Gone(76561198057838365) | Teleport to [14216.4,6518.71,0](GPS: 142167) (v0027A)
18-01-2016 00:41:48 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9132.44,9237.71,0](GPS: 091194) (v0027A)
18-01-2016 00:43:09 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13914.3,12481.5,0](GPS: 139227) (v0027A)
18-01-2016 00:43:24 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9118.91,9238.52,0](GPS: 091194) (v0027A)
18-01-2016 00:43:30 infiSTAR.de | King Heavy(76561197991198861) | SPECTATE - switchedCamera on AlphaVirus(76561198082373256) (v0027A)
18-01-2016 00:43:41 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - AlphaVirus [GUER](76561198082373256) (v0027A)
18-01-2016 00:44:11 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13910.9,12521,0](GPS: 139227) (v0027A)
18-01-2016 00:44:31 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9085.88,9246.55,0](GPS: 090194) (v0027A)
18-01-2016 00:46:53 infiSTAR.de | De Gone(76561198057838365) | Spawning AI AWM (Black+Ghillie) (hlc_rifle_awMagnum_BL_ghillie) on De Gone! (v0027A)
18-01-2016 00:46:57 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [15282.1,17808.8,0](GPS: 152280) (v0027A)
18-01-2016 00:47:06 infiSTAR.de | De Gone(76561198057838365) |  (v0027A)
18-01-2016 00:47:32 infiSTAR.de | De Gone(76561198057838365) | Spawning Leupold Mark 4 10x40mm LR/T (Woodland) (CUP_optic_LeupoldMk4_10x40_LRT_Woodland) on De Gone! (v0027A)
18-01-2016 00:47:35 infiSTAR.de | King Heavy(76561197991198861) | spawning M270 MLRS (HE) (CUP_B_M270_HE_USA) (v0027A)
18-01-2016 00:47:49 infiSTAR.de | De Gone(76561198057838365) | Spawning AN/PEQ-2 Laser (Camo) (CUP_acc_ANPEQ_2_camo) on De Gone! (v0027A)
18-01-2016 00:47:54 infiSTAR.de | De Gone(76561198057838365) | Spawning Bipod (Black) [NATO] (bipod_01_F_blk) on De Gone! (v0027A)
18-01-2016 00:48:17 infiSTAR.de | King Heavy(76561197991198861) | UnlimAmmo - 1 (v0027A)
18-01-2016 00:48:22 infiSTAR.de | De Gone(76561198057838365) |  (v0027A)
18-01-2016 00:48:34 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:34 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:35 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:35 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:36 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:37 infiSTAR.de | De Gone(76561198057838365) | Spawning AWM Magazine (FMJ) 5rnd .300WM (hlc_5rnd_300WM_FMJ_AWM) on De Gone! (v0027A)
18-01-2016 00:48:57 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9115.58,9236.22,0](GPS: 091194) (v0027A)
18-01-2016 00:49:00 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_M270_HE_USA @152280.. (v0027A)
18-01-2016 00:49:04 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18251,18703.5,0](GPS: 182289) (v0027A)
18-01-2016 00:49:09 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18141.7,18711,0](GPS: 181289) (v0027A)
18-01-2016 00:50:32 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9155.21,9321.42,0](GPS: 091195) (v0027A)
18-01-2016 00:50:37 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9114.55,9223.23,0](GPS: 091194) (v0027A)
18-01-2016 00:51:57 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16011.2,4722.9,0](GPS: 160149) (v0027A)
18-01-2016 00:52:08 infiSTAR.de | De Gone(76561198057838365) | Teleport to [14282.4,6402.6,0](GPS: 142166) (v0027A)
18-01-2016 00:52:54 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14663.8,6560.89,0](GPS: 146168) (v0027A)
18-01-2016 00:53:25 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9123.91,9238.82,0](GPS: 091194) (v0027A)
18-01-2016 00:54:20 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9212.24,9415.76,0](GPS: 092196) (v0027A)
18-01-2016 00:54:46 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9123.85,9238.52,0](GPS: 091194) (v0027A)
18-01-2016 00:55:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9120.35,9247.72,0](GPS: 091194) (v0027A)
18-01-2016 00:55:37 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18300.3,19324.3,0](GPS: 183295) (v0027A)
18-01-2016 00:55:38 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18241.1,18666.5,0](GPS: 182289) (v0027A)
18-01-2016 00:55:49 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9149.17,9301.41,0](GPS: 091195) (v0027A)
18-01-2016 00:55:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9190.29,9409.35,0](GPS: 091196) (v0027A)
18-01-2016 00:57:33 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 20 minutes remaining at the hill. Winner (Whoever is at the highest point on the tower) receives 100K pop tabs. (v0027A)
18-01-2016 00:57:55 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16951.5,20332.3,0](GPS: 169305) (v0027A)
18-01-2016 00:58:18 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18403.1,18459.9,0](GPS: 184286) (v0027A)
18-01-2016 00:58:19 infiSTAR.de | De Gone(76561198057838365) | spawning Ural (CUP_I_Ural_UN) (v0027A)
18-01-2016 00:58:27 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_I_Ural_UN @169305.. (v0027A)
18-01-2016 00:58:31 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9158.94,9310.14,0](GPS: 091195) (v0027A)
18-01-2016 00:58:36 infiSTAR.de | De Gone(76561198057838365) | spawning BM-21 (CUP_O_BM21_SLA) (v0027A)
18-01-2016 00:59:47 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_BM21_SLA @169305.. (v0027A)
18-01-2016 00:59:50 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18402.6,18417.3,0](GPS: 184286) (v0027A)
18-01-2016 01:00:08 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18546.6,18749.1,0](GPS: 185289) (v0027A)
18-01-2016 01:00:50 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16625.8,20373.6,0](GPS: 166306) (v0027A)
18-01-2016 01:01:02 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9128.45,9232.28,0](GPS: 091194) (v0027A)
18-01-2016 01:01:21 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9109,9236.27,0](GPS: 091194) (v0027A)
18-01-2016 01:03:01 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18829.4,18653.8,0](GPS: 188288) (v0027A)
18-01-2016 01:03:28 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 10 mintutes remaining! Tower is currently contested. 100K pop tabs to whoever is at the top of the tower. (v0027A)
18-01-2016 01:04:30 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9077.64,9234.18,0](GPS: 090194) (v0027A)
18-01-2016 01:04:32 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9911.19,9637.25,0](GPS: 099198) (v0027A)
18-01-2016 01:04:48 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9159.82,9298.92,0](GPS: 091195) (v0027A)
18-01-2016 01:07:49 infiSTAR.de | De Gone(76561198057838365) | Mass Message: 5 minutes remaining! (v0027A)
18-01-2016 01:12:39 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Times up! 100K to Brotha Grimms group! (v0027A)
18-01-2016 01:12:49 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 01:13:47 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Brotha Grimm(76561198161195934) (v0027A)
18-01-2016 01:13:49 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Brotha Grimm [GUER (R Infinity)](76561198161195934) (v0027A)
18-01-2016 01:14:54 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9157.45,9301.31,0](GPS: 091195) (v0027A)
18-01-2016 01:17:41 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
18-01-2016 01:23:16 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - OMEGA™ [GUER (R Bravo 4-3)](76561197974809837) (v0027A)
18-01-2016 01:23:21 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16180.5,4594.17,0](GPS: 161148) (v0027A)
18-01-2016 01:23:27 infiSTAR.de | King Heavy(76561197991198861) | Add / Remove Money - (76561197974809837) (v0027A)
18-01-2016 01:24:18 infiSTAR.de | De Gone(76561198057838365) | Teleport to [9143.66,9280.81,0](GPS: 091195) (v0027A)
18-01-2016 01:27:12 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18900.8,18380.2,0](GPS: 189286) (v0027A)
18-01-2016 01:28:14 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [18928.5,18410.6,0](GPS: 189286) (v0027A)
18-01-2016 01:28:54 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18477.5,20185.3,0](GPS: 184304) (v0027A)
18-01-2016 01:29:13 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
18-01-2016 01:29:18 infiSTAR.de | De Gone(76561198057838365) | spawning M270 MLRS (HE) (CUP_B_M270_HE_USMC) (v0027A)
18-01-2016 01:30:02 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_M270_HE_USMC @184304.. (v0027A)
18-01-2016 01:30:06 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18937.9,18403.8,0](GPS: 189286) (v0027A)
18-01-2016 01:32:44 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12182.7,2228.09,0](GPS: 121124) (v0027A)
18-01-2016 01:34:09 infiSTAR.de | De Gone(76561198057838365) | Teleport to [12281.3,6804.83,0](GPS: 122170) (v0027A)
18-01-2016 01:40:05 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19482.1,19204,0](GPS: 194294) (v0027A)
18-01-2016 01:41:17 infiSTAR.de | De Gone(76561198057838365) | spawning A-10C Thunderbolt II (AT) (CUP_B_A10_AT_USA) (v0027A)
18-01-2016 01:43:47 infiSTAR.de | De Gone(76561198057838365) | Vehicle God Mode - 1 (v0027A)
18-01-2016 01:44:36 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_A10_AT_USA @112257.. (v0027A)
18-01-2016 01:44:58 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19711.7,18950.6,0](GPS: 197291) (v0027A)
18-01-2016 01:45:12 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
18-01-2016 01:45:43 infiSTAR.de | De Gone(76561198057838365) | spawning A-10C Thunderbolt II (AT) (CUP_B_A10_AT_USA) (v0027A)
18-01-2016 01:50:13 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19574,19210.6,121.492](GPS: 195294) (v0027A)
18-01-2016 01:51:09 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_A10_AT_USA @197296.. (v0027A)
18-01-2016 01:51:27 infiSTAR.de | De Gone(76561198057838365) | spawning Mi-6T Hook (CUP_C_MI6T_RU) (v0027A)
18-01-2016 01:55:04 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19871,19044.2,47.7219](GPS: 198292) (v0027A)
18-01-2016 02:07:26 infiSTAR.de | De Gone(76561198057838365) | Eject - Lorean [GUER](76561198001089920) (v0027A)
18-01-2016 02:08:42 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_C_MI6T_RU @194294.. (v0027A)
18-01-2016 02:09:02 infiSTAR.de | De Gone(76561198057838365) | Vehboost - 1 (v0027A)
18-01-2016 02:09:03 infiSTAR.de | De Gone(76561198057838365) | UnlimAmmo - 1 (v0027A)
18-01-2016 02:10:14 infiSTAR.de | De Gone(76561198057838365) | spawning M6 Linebacker (Desert) (CUP_B_M6LineBacker_USA_D) (v0027A)
