19-01-2016 02:09:10 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0027A)
19-01-2016 02:09:12 infiSTAR.de | Bayley(76561198037794465) | Vehicle God Mode - 1 (v0027A)
19-01-2016 02:09:13 infiSTAR.de | Bayley(76561198037794465) | UnlimAmmo - 1 (v0027A)
19-01-2016 02:09:15 infiSTAR.de | Bayley(76561198037794465) | noRecoil - 1 (v0027A)
19-01-2016 02:09:16 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0027A)
19-01-2016 02:09:22 infiSTAR.de | Bayley(76561198037794465) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
19-01-2016 02:09:22 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Player ESP - 1 (v0027A)
19-01-2016 02:09:23 infiSTAR.de | Bayley(76561198037794465) | infiSTAR AI ESP - 1 (v0027A)
19-01-2016 02:11:10 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Solanthus [GUER (R CAP)](76561197970723138) (v0027A)
19-01-2016 02:11:58 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 02:15:05 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Chopper_Hummingbird_Civillian_Wasp @103115.. (v0027A)
19-01-2016 02:15:42 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19593.9,19227.8,0](GPS: 195294) (v0027A)
19-01-2016 02:15:50 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Solanthus [GUER (R CAP)](76561197970723138) (v0027A)
19-01-2016 02:15:51 infiSTAR.de | Bayley(76561198037794465) | Teleported Solanthus(76561197970723138) from [10388.3,1298.01,5.57233](103115) to [10388.3,1298.01,5.57233](103115)  (0m) (v0027A)
19-01-2016 02:16:13 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Solanthus [GUER (R CAP)](76561197970723138) (v0027A)
19-01-2016 02:17:39 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:17:45 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:17:52 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:17:56 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:00 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:03 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:07 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:10 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:17 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:21 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:24 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:18:27 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Bayley [GUER](76561198037794465) (v0027A)
19-01-2016 02:37:05 infiSTAR.de | Bayley(76561198037794465) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
19-01-2016 02:37:05 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0027A)
19-01-2016 02:37:06 infiSTAR.de | Bayley(76561198037794465) | UnlimAmmo - 1 (v0027A)
19-01-2016 02:37:06 infiSTAR.de | Bayley(76561198037794465) | Vehicle God Mode - 1 (v0027A)
19-01-2016 02:37:08 infiSTAR.de | Bayley(76561198037794465) | noRecoil - 1 (v0027A)
19-01-2016 02:37:09 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0027A)
19-01-2016 02:37:11 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Player ESP - 1 (v0027A)
19-01-2016 02:37:11 infiSTAR.de | Bayley(76561198037794465) | infiSTAR AI ESP - 1 (v0027A)
19-01-2016 02:37:47 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:38:22 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 02:38:23 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 02:38:48 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [CIV](76561197982462238) (v0027A)
19-01-2016 02:38:48 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [16871.5,20400.1,-0.356446](168306) to [16871.5,20400.1,-0.356446](168306)  (0m) (v0027A)
19-01-2016 02:39:08 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_UH60L_Unarmed_US @168306.. (v0027A)
19-01-2016 02:41:17 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 02:41:18 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [12636.5,18743,0.00183105](126289) to [12636.5,18743,0.00183105](126289)  (0m) (v0027A)
19-01-2016 02:42:47 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:42:48 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [13587.9,19253,0.00145721](135294) to [13587.9,19253,0.00145721](135294)  (0m) (v0027A)
19-01-2016 02:44:40 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
19-01-2016 02:44:40 infiSTAR.de | Bayley(76561198037794465) | Teleported Yolo Actual(76561198117366071) from [17370.2,16026.5,0.00186157](173262) to [17370.2,16026.5,0.00186157](173262)  (0m) (v0027A)
19-01-2016 02:47:22 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19599.7,19231.1,0](GPS: 195294) (v0027A)
19-01-2016 02:47:31 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:47:32 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [16808.1,20352.6,0.0015173](168305) to [16808.1,20352.6,0.0015173](168305)  (0m) (v0027A)
19-01-2016 02:49:35 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:49:35 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [19596,19238.6,0.00143886](195294) to [19596,19238.6,0.00143886](195294)  (0m) (v0027A)
19-01-2016 02:49:37 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:49:38 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [19593.1,19235.1,162.073](195294) to [19593.1,19235.1,162.073](195294)  (0m) (v0027A)
19-01-2016 02:49:38 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 02:49:39 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [19593.1,19235.2,152.41](195294) to [19593.1,19235.2,152.41](195294)  (0m) (v0027A)
19-01-2016 02:54:06 infiSTAR.de | Bayley(76561198037794465) | Deleting Graywood(76561197990912707) vehicle: CUP_B_MV22_USMC @196294.. (v0027A)
19-01-2016 02:55:56 infiSTAR.de | Bayley(76561198037794465) | spawning CH-67 Huron (Exile_Chopper_Huron_Black) (v0027A)
19-01-2016 02:58:05 infiSTAR.de | Bayley(76561198037794465) | spawning AH1 (Multirole) (CUP_B_AH1_MR_BAF) (v0027A)
19-01-2016 03:03:02 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 03:03:02 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 03:03:19 infiSTAR.de | Bayley(76561198037794465) | Deleting Yolo Actual(76561198117366071) vehicle: CUP_B_AH1_MR_BAF @157298.. (v0027A)
19-01-2016 03:05:17 infiSTAR.de | Bayley(76561198037794465) | spawning C-47 Skytrain (CUP_C_C47_CIV) (v0027A)
19-01-2016 03:05:44 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
19-01-2016 03:05:44 infiSTAR.de | Bayley(76561198037794465) | Teleported Yolo Actual(76561198117366071) from [12822.3,18970.9,0.00201416](128292) to [12822.3,18970.9,0.00201416](128292)  (0m) (v0027A)
19-01-2016 03:13:39 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_C_C47_CIV @195294.. (v0027A)
19-01-2016 03:14:12 infiSTAR.de | Bayley(76561198037794465) | spawning IFV-6a Cheetah (B_APC_Tracked_01_AA_F) (v0027A)
19-01-2016 03:14:47 infiSTAR.de | Bayley(76561198037794465) | spawning M2A1 Slammer (B_MBT_01_cannon_F) (v0027A)
19-01-2016 03:15:06 infiSTAR.de | Bayley(76561198037794465) | spawning 2S9 Sochor (O_MBT_02_arty_F) (v0027A)
19-01-2016 03:15:25 infiSTAR.de | Bayley(76561198037794465) | spawning M5 Sandstorm MLRS (B_MBT_01_mlrs_F) (v0027A)
19-01-2016 03:17:16 infiSTAR.de | Bayley(76561198037794465) | Deleting B_MBT_01_mlrs_F @165294.. (v0027A)
19-01-2016 03:19:53 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19579.7,19233.3,0](GPS: 195294) (v0027A)
19-01-2016 03:20:05 infiSTAR.de | Bayley(76561198037794465) | Deleting B_APC_Tracked_01_AA_F @195294.. (v0027A)
19-01-2016 03:20:08 infiSTAR.de | Bayley(76561198037794465) | Deleting B_MBT_01_cannon_F @195294.. (v0027A)
19-01-2016 03:20:37 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
19-01-2016 03:22:24 infiSTAR.de | Bayley(76561198037794465) | Teleport to [1553.99,8249.56,0](GPS: 015184) (v0027A)
19-01-2016 03:23:43 infiSTAR.de | Bayley(76561198037794465) | spawning T-100 Varsuk (O_MBT_02_cannon_F) (v0027A)
19-01-2016 03:24:25 infiSTAR.de | Bayley(76561198037794465) | spawning HEMMT (Transport) (Exile_Car_HEMMT) (v0027A)
19-01-2016 03:25:05 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Car_HEMMT @015184.. (v0027A)
19-01-2016 03:25:12 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Car_Kart_Black @015185.. (v0027A)
19-01-2016 03:25:31 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 03:25:32 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 03:26:03 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19600.3,19229.2,0](GPS: 196294) (v0027A)
19-01-2016 03:28:31 infiSTAR.de | Bayley(76561198037794465) | spawning UGV Stomper RCWS (I_UGV_01_rcws_F) (v0027A)
19-01-2016 03:29:49 infiSTAR.de | Bayley(76561198037794465) | spawning Armored SUV (CUP_I_SUV_Armored_ION) (v0027A)
19-01-2016 03:30:21 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 03:30:32 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 03:31:08 infiSTAR.de | Bayley(76561198037794465) | Deleting Graywood(76561197990912707) vehicle: CUP_I_SUV_Armored_ION @195294.. (v0027A)
19-01-2016 03:33:26 infiSTAR.de | Bayley(76561198037794465) | spawning Armored SUV (CUP_I_SUV_Armored_ION) (v0027A)
19-01-2016 03:35:52 infiSTAR.de | Bayley(76561198037794465) | Deleting Katana(76561197982462238) vehicle: CUP_I_SUV_Armored_ION @181293.. (v0027A)
19-01-2016 03:36:01 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19600.4,19219.6,0](GPS: 196294) (v0027A)
19-01-2016 03:36:13 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 03:36:14 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [18115.8,19103.4,0.00144172](181293) to [18115.8,19103.4,0.00144172](181293)  (0m) (v0027A)
19-01-2016 03:36:22 infiSTAR.de | Bayley(76561198037794465) | Deleting Graywood(76561197990912707) vehicle: I_UGV_01_rcws_F @195294.. (v0027A)
19-01-2016 03:37:10 infiSTAR.de | Bayley(76561198037794465) | Restrain - R Fortune Hunters:3 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 03:37:37 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 1 (v0027A)
19-01-2016 03:38:25 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 0 (v0027A)
19-01-2016 03:38:47 infiSTAR.de | Bayley(76561198037794465) | UnRestrain - R Fortune Hunters:3 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 03:38:54 infiSTAR.de | Bayley(76561198037794465) | Freeze Target - R Fortune Hunters:3 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 03:39:18 infiSTAR.de | Bayley(76561198037794465) | UnFreeze Target - R Fortune Hunters:3 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 03:40:21 infiSTAR.de | Bayley(76561198037794465) | Spawning Titan MPRL Launcher (launch_B_Titan_F) on the ground infront of Bayley! (v0027A)
19-01-2016 03:42:27 infiSTAR.de | Bayley(76561198037794465) | spawning Seafox (Target) (CUP_B_Seafox_USMC) (v0027A)
19-01-2016 03:42:57 infiSTAR.de | Bayley(76561198037794465) | Deleting Graywood(76561197990912707) vehicle: CUP_B_Seafox_USMC @195294.. (v0027A)
