21-01-2016 10:35:10 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
21-01-2016 10:35:11 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
21-01-2016 10:35:12 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
21-01-2016 10:35:13 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
21-01-2016 10:35:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1397.31,14812.1,0](GPS: 013250) (v0027A)
21-01-2016 10:36:16 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR AI ESP - 1 (v0027A)
21-01-2016 10:39:53 infiSTAR.de | King Heavy(76561197991198861) | Deleting B_HMG_01_high_F @012249.. (v0027A)
21-01-2016 10:41:29 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1325.56,14688.6,0](GPS: 013249) (v0027A)
21-01-2016 10:53:42 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1969.45,8626.3,0](GPS: 019188) (v0027A)
21-01-2016 10:54:15 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [1476.82,19875.8,0](GPS: 014301) (v0027A)
21-01-2016 10:54:20 infiSTAR.de | JerkinMerkin(76561198065631549) | Stealth / Invisible - 1 (v0027A)
21-01-2016 10:54:21 infiSTAR.de | JerkinMerkin(76561198065631549) | God Mode - 1 (v0027A)
21-01-2016 10:54:24 infiSTAR.de | JerkinMerkin(76561198065631549) | infiSTAR MapIcons - 1 (v0027A)
21-01-2016 10:54:27 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9016.84,11131.2,0](GPS: 090213) (v0027A)
21-01-2016 10:54:41 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5220.99,9734.42,0](GPS: 052199) (v0027A)
21-01-2016 10:54:52 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5354.86,10047.3,0](GPS: 053202) (v0027A)
21-01-2016 10:55:23 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [10190.1,18220.5,0](GPS: 101284) (v0027A)
21-01-2016 10:55:35 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14345,3014.34,0](GPS: 143132) (v0027A)
21-01-2016 10:55:36 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20370.1,12452.7,0](GPS: 203226) (v0027A)
21-01-2016 10:56:40 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [20401.6,12436.5,0](GPS: 204226) (v0027A)
21-01-2016 10:56:53 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [9181.37,9354.16,0](GPS: 091195) (v0027A)
21-01-2016 10:57:15 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [9192.91,9379.46,0](GPS: 091196) (v0027A)
21-01-2016 10:57:22 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [9172.72,9391.63,0](GPS: 091196) (v0027A)
21-01-2016 10:57:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [5349.74,10230.5,0](GPS: 053204) (v0027A)
21-01-2016 10:58:10 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20279.8,11333.8,0](GPS: 202215) (v0027A)
21-01-2016 10:58:25 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [7841.45,5487.48,0](GPS: 078157) (v0027A)
21-01-2016 10:58:33 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20324.7,11522.4,0](GPS: 203217) (v0027A)
21-01-2016 10:58:35 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [18115.8,16506.4,0](GPS: 181267) (v0027A)
21-01-2016 11:00:21 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14177.6,12491.5,0](GPS: 141227) (v0027A)
21-01-2016 11:00:35 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14087.6,12576.4,0](GPS: 140228) (v0027A)
21-01-2016 11:00:53 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14132.7,12620.3,0](GPS: 141228) (v0027A)
21-01-2016 11:01:25 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14175.6,12607,0](GPS: 141228) (v0027A)
21-01-2016 11:01:36 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [14118,12552.5,0](GPS: 141227) (v0027A)
21-01-2016 11:01:56 infiSTAR.de | King Heavy(76561197991198861) | Deleting Box_East_AmmoVeh_F @141227.. (v0027A)
21-01-2016 11:03:02 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [9152.8,9428,0](GPS: 091196) (v0027A)
21-01-2016 11:03:28 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [6463.37,3474.32,0](GPS: 064137) (v0027A)
21-01-2016 11:03:44 infiSTAR.de | JerkinMerkin(76561198065631549) | Kill - R Charlie 1-1:1 (Mayster) REMOTE(76561198078653693) (v0027A)
21-01-2016 11:03:50 infiSTAR.de | JerkinMerkin(76561198065631549) | Exploding Mayster(76561198078653693) @064137 (v0027A)
21-01-2016 11:03:51 infiSTAR.de | JerkinMerkin(76561198065631549) | Explode - R Charlie 1-1:1 (Mayster) REMOTE(76561198078653693) (v0027A)
