22-01-2016 20:46:49 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR Player ESP - 1 (v0027A)
22-01-2016 20:47:29 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
22-01-2016 20:47:29 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
22-01-2016 20:47:30 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
22-01-2016 20:47:31 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0027A)
22-01-2016 20:47:46 infiSTAR.de | De Gone(76561198057838365) |  (v0027A)
22-01-2016 20:47:48 infiSTAR.de | De Gone(76561198057838365) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on De Gone! (v0027A)
22-01-2016 20:48:28 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10571.8,6899.85,0](GPS: 105171) (v0027A)
22-01-2016 20:48:41 infiSTAR.de | 7=Temp(76561198133523234) | Spawning M136 (CUP_M136_M) on 7=Temp! (v0027A)
22-01-2016 20:48:42 infiSTAR.de | 7=Temp(76561198133523234) | Spawning M136 (CUP_M136_M) on 7=Temp! (v0027A)
22-01-2016 20:48:43 infiSTAR.de | 7=Temp(76561198133523234) | Spawning M136 (CUP_M136_M) on 7=Temp! (v0027A)
22-01-2016 20:48:44 infiSTAR.de | 7=Temp(76561198133523234) | Spawning M136 (CUP_M136_M) on 7=Temp! (v0027A)
22-01-2016 20:49:22 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10047.6,6166.33,0](GPS: 100164) (v0027A)
22-01-2016 20:49:23 infiSTAR.de | 7=Temp(76561198133523234) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F) (v0027A)
22-01-2016 20:49:29 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10375.7,6969.2,0](GPS: 103172) (v0027A)
22-01-2016 20:49:35 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR MapIcons - 1 (v0027A)
22-01-2016 20:49:38 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0027A)
22-01-2016 20:49:39 infiSTAR.de | 7=Temp(76561198133523234) | Vehicle God Mode - 1 (v0027A)
