23-01-2016 00:00:07 infiSTAR.de | Falcon911(76561197974470549) | spawning BTR-90 (CUP_O_BTR90_RU) (v0028)
23-01-2016 00:01:07 infiSTAR.de | Falcon911(76561197974470549) | spawning Land Rover (M2) (CUP_O_LR_MG_TKA) (v0028)
23-01-2016 00:02:36 infiSTAR.de | Falcon911(76561197974470549) | spawning UAZ (AGS-30) (CUP_B_UAZ_AGS30_ACR) (v0028)
23-01-2016 00:03:06 infiSTAR.de | Falcon911(76561197974470549) | spawning UAZ (AGS-30) (CUP_O_UAZ_AGS30_TKA) (v0028)
23-01-2016 00:03:38 infiSTAR.de | Falcon911(76561197974470549) | spawning UAZ (Metis-M) (CUP_O_UAZ_METIS_RU) (v0028)
23-01-2016 00:04:06 infiSTAR.de | Falcon911(76561197974470549) | spawning UAZ (Medevac) (CUP_O_UAZ_AMB_RU) (v0028)
23-01-2016 00:04:57 infiSTAR.de | Falcon911(76561197974470549) | spawning UAZ (DShKM) (CUP_B_UAZ_MG_ACR) (v0028)
23-01-2016 00:05:34 infiSTAR.de | Falcon911(76561197974470549) | spawning Dingo 2 CZ (GL) (Woodland) (CUP_B_Dingo_GL_Wdl) (v0028)
23-01-2016 00:05:43 infiSTAR.de | Falcon911(76561197974470549) | Deleting CUP_B_Dingo_GL_Wdl @010115.. (v0028)
23-01-2016 00:06:00 infiSTAR.de | Falcon911(76561197974470549) | spawning VAZ(Decorated) (Lada_Civ_04) (v0028)
23-01-2016 00:06:08 infiSTAR.de | Falcon911(76561197974470549) | Deleting Lada_Civ_04 @010115.. (v0028)
23-01-2016 00:06:59 infiSTAR.de | Falcon911(76561197974470549) | spawning MH-60S Seahawk (FFV) (CUP_B_MH60S_FFV_USMC) (v0028)
23-01-2016 00:07:12 infiSTAR.de | Falcon911(76561197974470549) | Deleting CUP_B_MH60S_FFV_USMC @010115.. (v0028)
23-01-2016 00:08:01 infiSTAR.de | Falcon911(76561197974470549) | spawning M6 Linebacker (Woodland) (CUP_B_M6LineBacker_USA_W) (v0028)
23-01-2016 00:08:48 infiSTAR.de | Falcon911(76561197974470549) | spawning Armored SUV (CUP_I_SUV_Armored_ION) (v0028)
