24-01-2016 08:18:17 infiSTAR.de | Syntax(76561198052079567) | Spawning PDW2000 9 mm (hgun_PDW2000_F) on the ground infront of Syntax! (v0029)
24-01-2016 08:18:36 infiSTAR.de | Syntax(76561198052079567) | Deleting Land_House_L_8_EP1 @098203.. (v0029)
24-01-2016 08:19:47 infiSTAR.de | Syntax(76561198052079567) | Spawning PDW2000 9 mm (hgun_PDW2000_F) on the ground infront of Syntax! (v0029)
24-01-2016 08:20:01 infiSTAR.de | Syntax(76561198052079567) | Deleting GroundWeaponHolder @046240.. (v0029)
24-01-2016 08:26:40 infiSTAR.de | Syntax(76561198052079567) | Teleport to [1950.79,8713.71,0](GPS: 019189) (v0029)
24-01-2016 08:30:40 infiSTAR.de | Syntax(76561198052079567) | locked - [CUP_O_BRDM2_TKA] (v0029)
24-01-2016 08:42:55 infiSTAR.de | Syntax(76561198052079567) | Teleport to [1555.12,20333.2,0](GPS: 015305) (v0029)
24-01-2016 08:42:57 infiSTAR.de | Syntax(76561198052079567) | Teleport to [2145.37,20357.7,0](GPS: 021305) (v0029)
24-01-2016 08:43:09 infiSTAR.de | Syntax(76561198052079567) | Teleport to [1352.32,19622.4,0](GPS: 013298) (v0029)
24-01-2016 08:43:17 infiSTAR.de | Syntax(76561198052079567) | Teleport to [3284.87,20299.6,0](GPS: 032305) (v0029)
24-01-2016 11:35:24 infiSTAR.de | Syntax(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
24-01-2016 11:35:25 infiSTAR.de | Syntax(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
24-01-2016 11:36:05 infiSTAR.de | Syntax(76561198052079567) | Teleport to [4755.5,14391.3,0](GPS: 047246) (v0029)
24-01-2016 11:36:11 infiSTAR.de | Syntax(76561198052079567) | Teleport to [3316.09,20291.3,0](GPS: 033305) (v0029)
24-01-2016 11:36:25 infiSTAR.de | Syntax(76561198052079567) | unlocked - [CUP_O_BRDM2_TKA] (v0029)
24-01-2016 11:36:32 infiSTAR.de | Syntax(76561198052079567) | Teleport to [4741.53,14318.7,0](GPS: 047245) (v0029)
24-01-2016 11:38:58 infiSTAR.de | Syntax(76561198052079567) | SPECTATE - switchedCamera on Adofo Freeman(76561197962697173) (v0029)
24-01-2016 11:46:22 infiSTAR.de | Syntax(76561198052079567) | Teleport to [5804.03,15186.6,0](GPS: 058254) (v0029)
24-01-2016 11:46:46 infiSTAR.de | Syntax(76561198052079567) | Teleport to [9765.41,13592.7,0](GPS: 097238) (v0029)
24-01-2016 11:46:48 infiSTAR.de | Syntax(76561198052079567) | Teleport to [9415.13,13430.3,0](GPS: 094236) (v0029)
