25-01-2016 17:04:46 infiSTAR.de | 7=Temp(76561198133523234) | Support-Box3 created for 7=Temp(76561198133523234)! (v0029)
25-01-2016 17:05:33 infiSTAR.de | 7=Temp(76561198133523234) | Deleting Exile_Construction_WoodFloor_Static @204195.. (v0029)
25-01-2016 17:06:37 infiSTAR.de | 7=Temp(76561198133523234) | HealSelf (v0029)
25-01-2016 17:06:38 infiSTAR.de | 7=Temp(76561198133523234) | HealRepairNear (v0029)
25-01-2016 17:09:15 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0029)
25-01-2016 17:09:16 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0029)
25-01-2016 17:09:17 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0029)
25-01-2016 17:10:27 infiSTAR.de | Bayley(76561198037794465) | Deleting GroundWeaponHolder @143128.. (v0029)
25-01-2016 17:11:38 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Code Lock (Exile_Item_Codelock) on 7=Temp! (v0029)
25-01-2016 17:12:02 infiSTAR.de | 7=Temp(76561198133523234) | Deleting Exile_Container_Storagecrate @204195.. (v0029)
25-01-2016 17:15:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 1/2 Wood Wall Kit (Exile_Item_WoodWallHalfKit) on 7=Temp! (v0029)
25-01-2016 17:15:49 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 1/2 Wood Wall Kit (Exile_Item_WoodWallHalfKit) on 7=Temp! (v0029)
25-01-2016 17:15:49 infiSTAR.de | 7=Temp(76561198133523234) | Spawning 1/2 Wood Wall Kit (Exile_Item_WoodWallHalfKit) on 7=Temp! (v0029)
25-01-2016 17:16:34 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @203195.. (v0029)
25-01-2016 17:16:48 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [7317.99,20269.2,0](GPS: 073305) (v0029)
25-01-2016 17:16:56 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Target To Me - AustinHale [GUER (R SFR)](76561198044124790) (v0029)
25-01-2016 17:16:56 infiSTAR.de | 7=Temp(76561198133523234) | Teleported AustinHale(76561198044124790) from [20398.6,9260.44,6.5324](203195) to [20398.6,9260.44,6.5324](203195)  (0m) (v0029)
25-01-2016 17:17:08 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [20416.1,9250.71,0](GPS: 204194) (v0029)
25-01-2016 17:17:20 infiSTAR.de | 7=Temp(76561198133523234) | Deleting Exile_Container_Storagecrate @203194.. (v0029)
25-01-2016 17:18:20 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Code Lock (Exile_Item_Codelock) on 7=Temp! (v0029)
25-01-2016 17:19:51 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Camp Fire Kit (Exile_Item_CampFireKit) on 7=Temp! (v0029)
25-01-2016 17:20:11 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:12 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:12 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:12 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:20:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:08 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:09 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:09 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:09 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:10 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:10 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:10 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:11 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on 7=Temp! (v0029)
25-01-2016 17:21:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:14 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:15 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:15 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:15 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:15 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:16 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:16 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:16 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:21:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
