26-01-2016 17:40:05 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
26-01-2016 17:40:06 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
26-01-2016 17:46:43 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
26-01-2016 17:46:44 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 17:48:11 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1102.39,1119.76,0](GPS: 011113) (v0029)
26-01-2016 17:49:58 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
26-01-2016 17:50:33 infiSTAR.de | De Gone(76561198057838365) | Teleport to [743.432,828.868,0](GPS: 007110) (v0029)
26-01-2016 17:52:50 infiSTAR.de | De Gone(76561198057838365) | Teleport to [4913.08,8929.07,0](GPS: 049191) (v0029)
26-01-2016 17:53:43 infiSTAR.de | De Gone(76561198057838365) | Teleport to [4784.27,8929.24,0](GPS: 047191) (v0029)
26-01-2016 17:54:44 infiSTAR.de | De Gone(76561198057838365) | spawning C-130J (CUP_B_C130J_USMC) (v0029)
26-01-2016 17:55:05 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [5348.33,8495.71,0](GPS: 053187) (v0029)
26-01-2016 17:55:26 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning NV Goggles (Black) (NVGoggles_OPFOR) on DevilDogGamer! (v0029)
26-01-2016 17:55:42 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [4527.29,9425.04,0](GPS: 045196) (v0029)
26-01-2016 17:56:03 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [4461.51,8590.64,0](GPS: 044188) (v0029)
26-01-2016 17:57:54 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [7017.08,6028.69,0](GPS: 070162) (v0029)
26-01-2016 17:58:01 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [7022.65,5999.35,0](GPS: 070162) (v0029)
26-01-2016 18:01:17 infiSTAR.de | De Gone(76561198057838365) | spawning HEMMT (Transport) (Exile_Car_HEMMT) (v0029)
26-01-2016 18:01:29 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Car_HEMMT @047192.. (v0029)
26-01-2016 18:01:42 infiSTAR.de | De Gone(76561198057838365) | spawning HEMMT (Transport) (Exile_Car_HEMMT) (v0029)
26-01-2016 18:02:07 infiSTAR.de | De Gone(76561198057838365) | Spawning AA-12 (CUP_sgun_AA12) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:08 infiSTAR.de | De Gone(76561198057838365) | Spawning AK-107 GP-25 (CUP_arifle_AK107_GL) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:09 infiSTAR.de | De Gone(76561198057838365) | Spawning AK-107 GP-25 (CUP_arifle_AK107_GL) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:13 infiSTAR.de | De Gone(76561198057838365) | Spawning M110 (CUP_srifle_M110) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:16 infiSTAR.de | De Gone(76561198057838365) | Spawning M16A4 (CUP_arifle_M16A4_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:17 infiSTAR.de | De Gone(76561198057838365) | Spawning M16A4 (CUP_arifle_M16A4_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:18 infiSTAR.de | De Gone(76561198057838365) | Spawning M16A4 (CUP_arifle_M16A4_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:18 infiSTAR.de | De Gone(76561198057838365) | Spawning M16A4 (CUP_arifle_M16A4_Base) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:19 infiSTAR.de | De Gone(76561198057838365) | Spawning M4A1 (CUP_arifle_M4A1_black) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:20 infiSTAR.de | De Gone(76561198057838365) | Spawning M4A1 (CUP_arifle_M4A1_black) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:21 infiSTAR.de | De Gone(76561198057838365) | Spawning M4A1 (CUP_arifle_M4A1_black) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:22 infiSTAR.de | De Gone(76561198057838365) | Spawning M4A1 (CUP_arifle_M4A1_black) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:24 infiSTAR.de | De Gone(76561198057838365) | Spawning M40A3 (CUP_srifle_M40A3) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:26 infiSTAR.de | De Gone(76561198057838365) | Spawning M32 (CUP_glaunch_M32) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:26 infiSTAR.de | De Gone(76561198057838365) | Spawning M32 (CUP_glaunch_M32) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:39 infiSTAR.de | De Gone(76561198057838365) | Spawning Colt Carbine (hlc_rifle_Colt727) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:39 infiSTAR.de | De Gone(76561198057838365) | Spawning Colt Carbine (hlc_rifle_Colt727) on the ground infront of De Gone! (v0029)
26-01-2016 18:02:48 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
26-01-2016 18:02:49 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
26-01-2016 18:03:10 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @047192.. (v0029)
26-01-2016 18:03:34 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [6834.79,13120.2,0](GPS: 068233) (v0029)
26-01-2016 18:04:40 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [6749.97,13389.8,0](GPS: 067236) (v0029)
26-01-2016 18:05:31 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [11340.7,4129.69,0](GPS: 113143) (v0029)
26-01-2016 18:05:38 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @047192.. (v0029)
26-01-2016 18:05:47 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1333.96,1054.33,0](GPS: 013112) (v0029)
26-01-2016 18:05:47 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1337.73,1140.99,0](GPS: 013113) (v0029)
26-01-2016 18:06:36 infiSTAR.de | Falcon911(76561197974470549) | Self Disconnect (v0029)
26-01-2016 18:08:04 infiSTAR.de | DevilDogGamer(76561198061701771) | Spawning Rangefinder (Rangefinder) on the ground infront of DevilDogGamer! (v0029)
26-01-2016 18:08:14 infiSTAR.de | De Gone(76561198057838365) | Spawning AKS (CUP_arifle_AKS_Gold) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:21 infiSTAR.de | De Gone(76561198057838365) | Spawning Rangefinder (Rangefinder) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:22 infiSTAR.de | De Gone(76561198057838365) | Spawning Rangefinder (Rangefinder) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:27 infiSTAR.de | De Gone(76561198057838365) | Spawning Laser Designator [AAF] (Laserdesignator_03) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:32 infiSTAR.de | De Gone(76561198057838365) | Spawning M240 (CUP_lmg_M240) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:33 infiSTAR.de | De Gone(76561198057838365) | Spawning M240 (CUP_lmg_M240) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:34 infiSTAR.de | De Gone(76561198057838365) | Spawning M249 PIP (VFG/PIP Stock) (CUP_lmg_m249_pip4) on the ground infront of De Gone! (v0029)
26-01-2016 18:08:38 infiSTAR.de | De Gone(76561198057838365) | Spawning M60E4 (hlc_lmg_M60E4) on the ground infront of De Gone! (v0029)
