27-01-2016 08:07:20 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
27-01-2016 08:07:21 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 08:09:06 infiSTAR.de | DevilDogGamer(76561198061701771) | spawning LAV-C2 (CUP_B_LAV25_HQ_USMC) (v0029)
27-01-2016 08:09:33 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [9020.06,19438.9,0](GPS: 090296) (v0029)
27-01-2016 08:09:50 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14827.1,7483.36,0](GPS: 148177) (v0029)
27-01-2016 08:10:31 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14907.4,7312.7,0](GPS: 149175) (v0029)
27-01-2016 08:13:25 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [15000.9,7157.39,0](GPS: 150173) (v0029)
27-01-2016 08:13:48 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14954.6,7163.66,0](GPS: 149174) (v0029)
27-01-2016 08:15:32 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14958.6,7163.86,0](GPS: 149174) (v0029)
27-01-2016 08:17:30 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14842.8,7480.34,0](GPS: 148177) (v0029)
27-01-2016 08:17:41 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [14856,7142.48,0](GPS: 148173) (v0029)
27-01-2016 08:23:11 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [1562.95,8230.17,0](GPS: 015184) (v0029)
27-01-2016 08:25:28 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10862.1,12593.4,0](GPS: 108228) (v0029)
27-01-2016 08:27:14 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10932,12779.5,0](GPS: 109230) (v0029)
27-01-2016 08:27:25 infiSTAR.de | DevilDogGamer(76561198061701771) | God Mode - 1 (v0029)
27-01-2016 08:31:05 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10892.4,12671,0](GPS: 108229) (v0029)
27-01-2016 08:31:44 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10842,12915.2,0](GPS: 108231) (v0029)
27-01-2016 08:33:07 infiSTAR.de | DevilDogGamer(76561198061701771) | AdminConsole (v0029)
27-01-2016 08:34:40 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [10946.1,12891.5,0](GPS: 109231) (v0029)
27-01-2016 08:36:14 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [1563.94,8230.29,0](GPS: 015184) (v0029)
27-01-2016 08:37:37 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [6552,14358.2,0](GPS: 065245) (v0029)
27-01-2016 11:04:16 infiSTAR.de | DevilDogGamer(76561198061701771) | Disable Announces - 1 (v0029)
27-01-2016 11:04:17 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR Dead ESP - 1 (v0029)
27-01-2016 11:04:18 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 11:04:19 infiSTAR.de | DevilDogGamer(76561198061701771) | infiSTAR Dead ESP - 0 (v0029)
27-01-2016 11:05:06 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [18229.1,10752.4,0](GPS: 182209) (v0029)
27-01-2016 11:07:01 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [18153.2,10861.5,0](GPS: 181211) (v0029)
27-01-2016 11:07:04 infiSTAR.de | DevilDogGamer(76561198061701771) | God Mode - 1 (v0029)
27-01-2016 11:07:12 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [18130.7,10874.3,0](GPS: 181211) (v0029)
27-01-2016 11:08:18 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [18237.4,10755,0](GPS: 182209) (v0029)
27-01-2016 11:08:30 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [18188.6,10886.6,0](GPS: 181211) (v0029)
27-01-2016 11:11:05 infiSTAR.de | DevilDogGamer(76561198061701771) | Teleport to [1912.56,8791.21,0](GPS: 019190) (v0029)
27-01-2016 13:19:59 infiSTAR.de | J. Thomas(76561198087140410) | God Mode - 1 (v0029)
27-01-2016 13:19:59 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 1 (v0029)
27-01-2016 13:20:01 infiSTAR.de | J. Thomas(76561198087140410) | Flag Marker (with radius) - 1 (v0029)
27-01-2016 13:20:01 infiSTAR.de | J. Thomas(76561198087140410) | Flag Marker (with radius) - 0 (v0029)
27-01-2016 13:20:02 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 13:20:03 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 13:20:28 infiSTAR.de | J. Thomas(76561198087140410) | Teleport - Me To Target - Volcom [GUER (R Lannon is so gaaaay)](76561198128495522) (v0029)
27-01-2016 13:23:36 infiSTAR.de | J. Thomas(76561198087140410) | Spawning Safe Kit (Exile_Item_SafeKit) on the ground infront of J. Thomas! (v0029)
27-01-2016 13:24:28 infiSTAR.de | J. Thomas(76561198087140410) | Self Disconnect (v0029)
27-01-2016 14:43:19 infiSTAR.de | J. Thomas(76561198087140410) | God Mode - 1 (v0029)
27-01-2016 14:43:20 infiSTAR.de | J. Thomas(76561198087140410) | Vehicle God Mode - 1 (v0029)
27-01-2016 14:43:21 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 14:43:22 infiSTAR.de | J. Thomas(76561198087140410) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 14:44:53 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [18560,1483.03,0](GPS: 185117) (v0029)
27-01-2016 14:45:20 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17206.9,3356.42,0](GPS: 172135) (v0029)
27-01-2016 14:46:53 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17633.3,2026.93,0](GPS: 176122) (v0029)
27-01-2016 14:47:15 infiSTAR.de | J. Thomas(76561198087140410) | unlocked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:47:19 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:47:26 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17793,2210.17,0](GPS: 177124) (v0029)
27-01-2016 14:47:37 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17785.1,2211.1,0](GPS: 177124) (v0029)
27-01-2016 14:47:40 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17775.3,2198.76,0](GPS: 177124) (v0029)
27-01-2016 14:47:41 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17773.2,2188.98,0](GPS: 177124) (v0029)
27-01-2016 14:47:44 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17795.9,2184.79,0](GPS: 177124) (v0029)
27-01-2016 14:47:49 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17771.3,2188.17,0](GPS: 177124) (v0029)
27-01-2016 14:47:56 infiSTAR.de | J. Thomas(76561198087140410) | unlocked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:47:59 infiSTAR.de | J. Thomas(76561198087140410) | locked - [CUP_B_LR_Transport_GB_D] (v0029)
27-01-2016 14:48:09 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17777.6,1886.05,0](GPS: 177121) (v0029)
27-01-2016 14:54:11 infiSTAR.de | J. Thomas(76561198087140410) | Teleport to [17819.5,2536.17,0](GPS: 178127) (v0029)
