28-01-2016 00:02:20 infiSTAR.de | Double A.(76561198069335401) | Mass Message: ENEMY FORCES HAVE PULLED OUT OF THE COMPOUND. T-72 HAS BEEN ABANDON. (v0029)
28-01-2016 00:04:48 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
28-01-2016 00:04:49 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
28-01-2016 00:04:50 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
28-01-2016 00:04:51 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
28-01-2016 00:05:07 infiSTAR.de | Double A.(76561198069335401) | Mass Message: THE T-72 HAS BEEN TAKEN! DON'T LET IT ESCAPE! (v0029)
28-01-2016 00:06:23 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [13521.2,8762.59,0](GPS: 135190) (v0029)
28-01-2016 00:07:17 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
28-01-2016 00:07:19 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - Zheky [GUER (R SFR)](76561198042363732) (v0029)
28-01-2016 00:07:25 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10293.9,9926.02,0](GPS: 102201) (v0029)
28-01-2016 00:07:56 infiSTAR.de | Double A.(76561198069335401) | HealSelf (v0029)
28-01-2016 00:08:01 infiSTAR.de | Double A.(76561198069335401) | HealSelf (v0029)
28-01-2016 00:08:15 infiSTAR.de | Double A.(76561198069335401) | Teleport to [13635,8624.91,0](GPS: 136188) (v0029)
28-01-2016 00:08:19 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13209.9,8017.85,0](GPS: 132182) (v0029)
28-01-2016 00:08:21 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
28-01-2016 00:11:13 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13365.2,8564.91,0](GPS: 133188) (v0029)
