29-01-2016 00:04:13 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Frag Grenade (CUP_HandGrenade_RGO) on the ground infront of Double A.! (v0029)
29-01-2016 00:04:14 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Frag Grenade (CUP_HandGrenade_RGO) on the ground infront of Double A.! (v0029)
29-01-2016 00:04:18 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Frag Grenade (CUP_HandGrenade_RGO) on Double A.! (v0029)
29-01-2016 00:04:18 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Frag Grenade (CUP_HandGrenade_RGO) on Double A.! (v0029)
29-01-2016 00:07:18 infiSTAR.de | Double A.(76561198069335401) | Teleport to [8582.2,7550.89,0](GPS: 085177) (v0029)
29-01-2016 00:09:08 infiSTAR.de | Double A.(76561198069335401) | spawning UH-60M (FFV) (CUP_B_UH60M_FFV_US) (v0029)
29-01-2016 00:09:36 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
29-01-2016 00:09:36 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 1 (v0029)
29-01-2016 00:23:22 infiSTAR.de | Double A.(76561198069335401) | spawning T-100 Varsuk (O_MBT_02_cannon_F) (v0029)
29-01-2016 00:24:06 infiSTAR.de | Double A.(76561198069335401) | Deleting Deadhead(76561198001914549) vehicle: O_MBT_02_cannon_F @195294.. (v0029)
29-01-2016 00:24:29 infiSTAR.de | Double A.(76561198069335401) | Delete Vehicle - R Fortune Hunters:8 (Solo) REMOTE(76561198068561099) (v0029)
29-01-2016 00:24:40 infiSTAR.de | Double A.(76561198069335401) | Eject Crew - Solo [GUER (R Fortune Hunters)](76561198068561099) (v0029)
29-01-2016 00:24:43 infiSTAR.de | Double A.(76561198069335401) | Delete Vehicle - R Fortune Hunters:8 (Solo) REMOTE(76561198068561099) (v0029)
29-01-2016 00:25:00 infiSTAR.de | Double A.(76561198069335401) | Teleport to [18388.2,21289.7,0](GPS: 183315) (v0029)
29-01-2016 00:25:18 infiSTAR.de | Double A.(76561198069335401) | Solo added Ammo to CUP_B_HMMWV_Transport_USA (v0029)
29-01-2016 00:25:18 infiSTAR.de | Double A.(76561198069335401) | Solo added Ammo to CUP_B_HMMWV_Transport_USA (v0029)
29-01-2016 00:25:41 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 00:25:43 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 00:26:06 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 00:26:08 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 00:26:15 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 0 (v0029)
29-01-2016 00:26:16 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0029)
29-01-2016 00:26:30 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
29-01-2016 00:26:32 infiSTAR.de | Double A.(76561198069335401) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on Double A.! (v0029)
29-01-2016 00:27:35 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19368.8,19182.5,0](GPS: 193294) (v0029)
29-01-2016 00:30:44 infiSTAR.de | Double A.(76561198069335401) | Eject Crew - SSF Frank [GUER (R karl's Party)](76561198091891913) (v0029)
29-01-2016 00:31:01 infiSTAR.de | Double A.(76561198069335401) | Eject Crew - SSF Frank [GUER (R karl's Party)](76561198091891913) (v0029)
29-01-2016 00:31:44 infiSTAR.de | Double A.(76561198069335401) | Eject - SSF Frank [GUER (R karl's Party)](76561198091891913) (v0029)
29-01-2016 00:32:02 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19504.5,20903.8,0](GPS: 195311) (v0029)
29-01-2016 00:32:12 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
29-01-2016 00:32:12 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
