20-01-2016 03:01:15 infiSTAR.de | 0h 28min 16s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.235962s (from [10379.3,1292.96,7.73243] to [580.53,496.055,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 149990. Player FPS: 36.3636. Alive for 0.56604s -  [FPS: 47.619|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:15 infiSTAR.de | 0h 28min 17s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.265991s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 133056. Player FPS: 50.1567. Alive for 0.832031s -  [FPS: 46.9208|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:15 infiSTAR.de | 0h 28min 17s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.255005s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00125742]). TopSpeed of Exile_Unit_Player is 24 speed was 138789. Player FPS: 43.3604. Alive for 1.08704s -  [FPS: 47.4777|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:16 infiSTAR.de | 0h 28min 17s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25293s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00127363]). TopSpeed of Exile_Unit_Player is 24 speed was 139928. Player FPS: 49.8442. Alive for 1.33997s -  [FPS: 45.977|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:16 infiSTAR.de | 0h 28min 17s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.247925s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.0012784]). TopSpeed of Exile_Unit_Player is 24 speed was 142752. Player FPS: 52.2876. Alive for 1.58899s -  [FPS: 44.8179|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:16 infiSTAR.de | 0h 28min 18s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.248047s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00127316]). TopSpeed of Exile_Unit_Player is 24 speed was 142682. Player FPS: 53.3333. Alive for 1.83801s -  [FPS: 45.0704|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:16 infiSTAR.de | 0h 28min 18s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.255981s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00124407]). TopSpeed of Exile_Unit_Player is 24 speed was 138259. Player FPS: 51.9481. Alive for 2.09399s -  [FPS: 44.9438|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:17 infiSTAR.de | 0h 28min 18s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.265991s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 133056. Player FPS: 50.6329. Alive for 2.36096s -  [FPS: 43.5967|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:17 infiSTAR.de | 0h 28min 18s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.263062s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 134538. Player FPS: 53.8721. Alive for 2.62402s -  [FPS: 45.1977|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:17 infiSTAR.de | 0h 28min 19s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.256958s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137734. Player FPS: 51.4469. Alive for 2.88098s -  [FPS: 46.5116|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:18 infiSTAR.de | 0h 28min 19s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.254028s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 139322. Player FPS: 55.1724. Alive for 3.13599s -  [FPS: 49.0798|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:18 infiSTAR.de | 0h 28min 19s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25708s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137669. Player FPS: 51.6129. Alive for 3.39307s -  [FPS: 47.619|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:18 infiSTAR.de | 0h 28min 19s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.265991s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 133056. Player FPS: 50.1567. Alive for 3.65906s -  [FPS: 48.048|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:18 infiSTAR.de | 0h 28min 20s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 53.8721. Alive for 3.92004s -  [FPS: 47.4777|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:19 infiSTAR.de | 0h 28min 20s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 141567. Player FPS: 53.1561. Alive for 4.17004s -  [FPS: 48.7805|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:19 infiSTAR.de | 0h 28min 20s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.265015s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 133547. Player FPS: 53.5117. Alive for 4.43506s -  [FPS: 47.619|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:19 infiSTAR.de | 0h 28min 21s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.255005s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 138789. Player FPS: 54.9828. Alive for 4.69006s -  [FPS: 48.3384|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:19 infiSTAR.de | 0h 28min 21s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.255005s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 138789. Player FPS: 52.2876. Alive for 4.94507s -  [FPS: 45.8453|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:20 infiSTAR.de | 0h 28min 21s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.266968s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 132570. Player FPS: 52.459. Alive for 5.21301s -  [FPS: 49.8442|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:20 infiSTAR.de | 0h 28min 21s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.26001s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 136117. Player FPS: 50.4732. Alive for 5.47302s -  [FPS: 47.1976|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:20 infiSTAR.de | 0h 28min 22s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.26001s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 136117. Player FPS: 51.6129. Alive for 5.73303s -  [FPS: 48.7805|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:20 infiSTAR.de | 0h 28min 22s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.266968s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 132570. Player FPS: 52.8053. Alive for 6s -  [FPS: 48.4848|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:21 infiSTAR.de | 0h 28min 22s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.254028s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 139322. Player FPS: 51.9481. Alive for 6.25403s -  [FPS: 49.6894|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:21 infiSTAR.de | 0h 28min 22s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.254028s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 139322. Player FPS: 49.5356. Alive for 6.50806s -  [FPS: 47.4777|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:21 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.248901s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 142192. Player FPS: 52.459. Alive for 6.75696s -  [FPS: 48.3384|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:21 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.259033s (from [10379.3,1292.96,7.73243] to [580.577,496.083,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 136630. Player FPS: 54.4218. Alive for 7.01599s -  [FPS: 48.9297|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:22 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.96,7.73243] to [580.576,496.096,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 54.7945. Alive for 7.27808s -  [FPS: 48.6322|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:01:22 infiSTAR.de | 0h 28min 23s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.256958s (from [10379.3,1292.96,7.73243] to [580.576,496.096,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137734. Player FPS: 50.9554. Alive for 7.53503s -  [FPS: 46.9208|SERVERTHREADS: 37] (v0027A)
20-01-2016 03:02:24 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.225098s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00126743]). TopSpeed of Exile_Unit_Player is 24 speed was 157229. Player FPS: 36.4465. Alive for 0.571045s -  [FPS: 32.3887|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.257935s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 137212. Player FPS: 47.619. Alive for 0.828979s -  [FPS: 37.3832|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.252075s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 140402. Player FPS: 54.7945. Alive for 1.08105s -  [FPS: 38.1862|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 26s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.260986s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 135608. Player FPS: 53.6913. Alive for 1.34302s -  [FPS: 46.6472|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:25 infiSTAR.de | 0h 29min 27s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.259033s (from [10379.3,1292.9,7.75829] to [580.577,496.084,0.00122881]). TopSpeed of Exile_Unit_Player is 24 speed was 136630. Player FPS: 57.7617. Alive for 1.60205s -  [FPS: 44.6927|SERVERTHREADS: 36] (v0027A)
