25-01-2016 17:20:22 infiSTAR.de | 1h 44min 54s | Moses Bruce(76561198184451211) | POTENTIAL-TP-REVERTED#1: Moved 88m in 0.267944s (from [4945.46,13757.2,890.608] to [4943.31,13669.2,956.046]). TopSpeed of Exile_Unit_Player is 24 speed was 1182.56. Player FPS: 63.745. Alive for 1741.04s -  [FPS: 10.929|SERVERTHREADS: 35] (v0029)
25-01-2016 17:20:23 infiSTAR.de | 1h 44min 54s | Moses Bruce(76561198184451211) | POTENTIAL-TP-REVERTED#1: Moved 88m in 0.255005s (from [4943.31,13669.2,949.028] to [4945.46,13757.2,883.096]). TopSpeed of Exile_Unit_Player is 24 speed was 1242.52. Player FPS: 55.3633. Alive for 1741.53s -  [FPS: 10.8844|SERVERTHREADS: 35] (v0029)
25-01-2016 18:11:25 infiSTAR.de | 2h 30min 32s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.266113s (from [15483.6,5775.68,908.716] to [15452.7,5883.51,819.464]). TopSpeed of Steerable_Parachute_F is 300 speed was 1517.2. Player FPS: 38.0047. Alive for 1838.82s -  [FPS: 6.38723|SERVERTHREADS: 35] (v0029)
25-01-2016 18:11:25 infiSTAR.de | 2h 30min 32s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 119m in 0.27002s (from [15483.5,5776.54,908.375] to [15450.2,5890.47,838.488]). TopSpeed of Steerable_Parachute_F is 300 speed was 1582.41. Player FPS: 37.037. Alive for 1839.09s -  [FPS: 6.29921|SERVERTHREADS: 35] (v0029)
25-01-2016 18:11:26 infiSTAR.de | 2h 30min 32s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.265991s (from [15483.8,5776.29,908.392] to [15445.1,5881.44,836.996]). TopSpeed of Steerable_Parachute_F is 300 speed was 1516.17. Player FPS: 37.037. Alive for 1839.36s -  [FPS: 6.41797|SERVERTHREADS: 35] (v0029)
25-01-2016 19:35:56 infiSTAR.de | 1h 2min 18s | pineapplus(76561198128303996) | POTENTIAL-TP-REVERTED#1: Moved 63m in 0.328003s (from [15360.5,6222.57,903.345] to [15351.3,6160.69,968.862]). TopSpeed of Exile_Unit_Player is 24 speed was 686.56. Player FPS: 33.6134. Alive for 34.372s -  [FPS: 8.70511|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:12 infiSTAR.de | 1h 27min 55s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 141m in 0.260742s (from [4565.66,13534.2,783.791] to [4564.76,13392.8,737.016]). TopSpeed of Steerable_Parachute_F is 300 speed was 1951.24. Player FPS: 37.9147. Alive for 4889.66s -  [FPS: 10.6101|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:12 infiSTAR.de | 1h 27min 55s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 125m in 0.270508s (from [4630.23,13435.1,755.762] to [4641.4,13311,735.017]). TopSpeed of Steerable_Parachute_F is 300 speed was 1657.67. Player FPS: 37.4707. Alive for 4890.22s -  [FPS: 10.3093|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:13 infiSTAR.de | 1h 27min 57s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 120m in 0.273438s (from [4848.39,13067.8,687.718] to [4908.68,12964.3,636.369]). TopSpeed of Steerable_Parachute_F is 300 speed was 1576.36. Player FPS: 38.9294. Alive for 4891.57s -  [FPS: 10.2696|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:14 infiSTAR.de | 1h 27min 57s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 118m in 0.270508s (from [4862.8,13045.2,678.256] to [4934.59,12951.5,618.903]). TopSpeed of Steerable_Parachute_F is 300 speed was 1571.3. Player FPS: 37.5587. Alive for 4891.9s -  [FPS: 10.3694|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:14 infiSTAR.de | 1h 27min 57s | jim(76561198127460107) | POTENTIAL-TP-REVERTED#1: Moved 106m in 0.242188s (from [4873.72,13034.3,668.68] to [4954.84,12966.1,608.11]). TopSpeed of Steerable_Parachute_F is 300 speed was 1575.39. Player FPS: 36.6133. Alive for 4892.17s -  [FPS: 10.3292|SERVERTHREADS: 36] (v0029)
