15-01-2016 20:05:07 infiSTAR.de | 0h 44min 31s | Hunter3217(76561198052968601) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @136146 [13645,4453,0.75] [FPS: 39.5062|SERVERTHREADS: 35] (v0027C)
15-01-2016 22:03:21 infiSTAR.de | 1h 32min 50s | Solanthus(76561197970723138) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @054134 [5404.46,3191.54,1.89375] [FPS: 7.05779|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:31:53 infiSTAR.de | 1h 58min 12s | Devin(76561198074065744) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @153135 [15379.3,3308.69,0.46701] [FPS: 8.52424|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:33:00 infiSTAR.de | 1h 59min 13s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15375.9,3298.53,0.189673] [FPS: 9.18484|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:34:31 infiSTAR.de | 2h 0min 30s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15369.5,3321.4,0.72902] [FPS: 8.88889|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:34:43 infiSTAR.de | 2h 0min 40s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15369.5,3321.4,0.72902] [FPS: 8.58369|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:34:54 infiSTAR.de | 2h 0min 50s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15369.5,3321.4,0.72902] [FPS: 7.80488|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:35:06 infiSTAR.de | 2h 0min 60s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15375.3,3323.02,0.863708] [FPS: 9.09091|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:35:17 infiSTAR.de | 2h 1min 9s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15369.5,3321.4,0.72902] [FPS: 8.11771|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:35:31 infiSTAR.de | 2h 1min 21s | Devin(76561198074065744) | WALL LOOK CHECK (looked through Exile_Construction_WoodWindow_Static) - @153135 [15375.3,3323.02,0.863708] [FPS: 8.83002|SERVERTHREADS: 33] (v0027C)
15-01-2016 22:35:41 infiSTAR.de | 2h 1min 31s | Devin(76561198074065744) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWindow_Static) - @153135 [15375.3,3323.02,0.863708] [FPS: 8.77193|SERVERTHREADS: 33] (v0027C)
