27-01-2016 01:41:16 infiSTAR.de | 0h 29min 38s | Anderson(76561198171658422) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @026295 [2686.63,19285.6,0.0291028] [FPS: 49.8442|SERVERTHREADS: 35] (v0029)
27-01-2016 10:23:34 infiSTAR.de | 0h 10min 5s | SoUL(76561198176658546) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodDoor_Static) - @031163 [3101.43,6142.12,0.295097] [FPS: 31.25|SERVERTHREADS: 36] (v0029)
27-01-2016 10:24:46 infiSTAR.de | 0h 11min 17s | SoUL(76561198176658546) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @031163 [3105.31,6143.36,3.6245] [FPS: 32.6531|SERVERTHREADS: 36] (v0029)
27-01-2016 10:25:45 infiSTAR.de | 0h 12min 15s | SoUL(76561198176658546) | WALL LOOK CHECK (looked through Exile_Construction_WoodFloorPort_Static) - @031163 [3102.75,6144.67,3.35342] [FPS: 27.7778|SERVERTHREADS: 36] (v0029)
27-01-2016 10:34:22 infiSTAR.de | 0h 20min 50s | SoUL(76561198176658546) | WALL LOOK CHECK (looked through Exile_Construction_WoodStairs_Static) - @031163 [3103.17,6144.46,0.333359] [FPS: 22.2531|SERVERTHREADS: 36] (v0029)
27-01-2016 13:22:40 infiSTAR.de | 0h 8min 21s | J. Thomas(76561198087140410) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @143128 [14363.5,2570.02,5.29782] [FPS: 23.9521|SERVERTHREADS: 37] (v0029)
27-01-2016 13:43:00 infiSTAR.de | 0h 28min 33s | SSF Frank(76561198091891913) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18007,19702.1,0.337143] [FPS: 13.278|SERVERTHREADS: 37] (v0029)
27-01-2016 13:43:18 infiSTAR.de | 0h 28min 51s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 14.6252|SERVERTHREADS: 37] (v0029)
27-01-2016 13:43:28 infiSTAR.de | 0h 29min 2s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 13.1687|SERVERTHREADS: 36] (v0029)
27-01-2016 13:43:49 infiSTAR.de | 0h 29min 23s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18003.3,19694.1,-0.616669] [FPS: 11.8168|SERVERTHREADS: 36] (v0029)
27-01-2016 13:43:52 infiSTAR.de | 0h 29min 25s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 12.5984|SERVERTHREADS: 36] (v0029)
27-01-2016 13:44:42 infiSTAR.de | 0h 30min 15s | bambam(76561198112160451) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18001.5,19704.6,1.22876] [FPS: 13.267|SERVERTHREADS: 37] (v0029)
27-01-2016 13:44:58 infiSTAR.de | 0h 30min 30s | bambam(76561198112160451) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @180299 [18003.3,19694.1,-0.616669] [FPS: 13.4907|SERVERTHREADS: 37] (v0029)
27-01-2016 13:45:16 infiSTAR.de | 0h 30min 48s | SSF Frank(76561198091891913) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @180299 [18001.5,19704.6,1.22876] [FPS: 14.9533|SERVERTHREADS: 37] (v0029)
27-01-2016 13:45:32 infiSTAR.de | 0h 31min 4s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodFloor_Static) - @180299 [18001.5,19704.6,1.22876] [FPS: 13.7931|SERVERTHREADS: 36] (v0029)
