16-01-2016 08:12:30 infiSTAR.de | 2h 56min 25s | Coldblackwind(76561198146626759) | Player Low Rating! 0 - Exile_Unit_Player - @[2615.6,8714.78,0.00143528] 026189 [FPS: 32.1932|SERVERTHREADS: 35] (v0027A)
16-01-2016 08:13:15 infiSTAR.de | 2h 57min 10s | Gaming_Grunt(76561198130033941) | Player Low Rating! 0 - Exile_Unit_Player - @[5370.18,15128.2,0.00143957] 053253 [FPS: 32.3232|SERVERTHREADS: 34] (v0027A)
16-01-2016 11:05:24 infiSTAR.de | 2h 47min 37s | theninja35(76561198066344785) | Player Low Rating! 0 - Exile_Unit_Player - @[17278.7,14659.4,826.535] 172248 [FPS: 11.7734|SERVERTHREADS: 37] (v0027A)
16-01-2016 12:35:51 infiSTAR.de | 1h 15min 19s | AlexWJD(76561198170420898) | Player Low Rating! 0 - Exile_Unit_Player - @[8579.19,10023.7,0.00211334] 085202 [FPS: 7.83162|SERVERTHREADS: 36] (v0027A)
16-01-2016 12:47:25 infiSTAR.de | 1h 24min 27s | AlexWJD(76561198170420898) | Player Low Rating! 0 - Exile_Unit_Player - @[8653.99,10013.2,0.00192261] 086202 [FPS: 8.49708|SERVERTHREADS: 36] (v0027A)
16-01-2016 12:53:37 infiSTAR.de | 1h 29min 4s | AlexWJD(76561198170420898) | Player Low Rating! 100000 - Exile_Unit_Player - @[8604.88,10036.2,0.00131226] 086202 [FPS: 7.53296|SERVERTHREADS: 36] (v0027A)
16-01-2016 12:53:37 infiSTAR.de | 1h 29min 5s | AlexWJD(76561198170420898) | Player Low Rating! 100000 - Exile_Unit_Player - @[8605.64,10036.2,0.00125885] 086202 [FPS: 7.51527|SERVERTHREADS: 36] (v0027A)
16-01-2016 14:13:08 infiSTAR.de | 2h 24min 34s | Adrianu(76561198262326672) | Player Low Rating! 0 - Exile_Unit_Player - @[4479.77,13622.7,0.00143886] 044238 [FPS: 12.1858|SERVERTHREADS: 37] (v0027A)
16-01-2016 14:31:21 infiSTAR.de | 0h 13min 54s | AlexWJD(76561198170420898) | Player Low Rating! 0 - Exile_Unit_Player - @[8611.75,10041.3,0.00180817] 086202 [FPS: 13.617|SERVERTHREADS: 37] (v0027A)
16-01-2016 14:31:46 infiSTAR.de | 0h 14min 18s | Pte. C Dell(76561198056671834) | ChatMenu Found: 13 should be 7 () [FPS: 13.8408|SERVERTHREADS: 37] (v0027A)
16-01-2016 14:31:46 infiSTAR.de | 0h 14min 18s | Pte. C Dell(76561198056671834) | ChatMenu Found: 3 should be 7 () [FPS: 13.8408|SERVERTHREADS: 37] (v0027A)
